# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	30955
#@/user_id	arch
a 	啊	c=27 d=0.000665523 t=30955
bian hao 	編號	c=20 d=3.35287e-08 t=30955
bian hua 	變化	c=10 d=8.61062e-08 t=30955
bian ji 	編輯	c=66 d=0.00270517 t=30955
bian ji bu 	編輯部	c=1 d=3.2577e-12 t=30955
bian ji de 	編輯的	c=1 d=2.95582e-15 t=30955
bian ji hang 	編輯行	c=12 d=3.83284e-13 t=30955
bian ji jie dian 	編輯節點	c=1 d=5.6173e-10 t=30955
bian ji qi 	編輯器	c=1 d=1.76917e-06 t=30955
bian ji qian 	編輯前	c=1 d=3.23418e-15 t=30955
bian kuang 	邊框	c=1 d=8.23816e-15 t=30955
bian li 	遍歷	c=13 d=7.08918e-12 t=30955
bian liang 	變量	c=30 d=0.00849021 t=30955
bian ma 	編碼	c=41 d=5.10339e-05 t=30955
bian xie 	編寫	c=3 d=2.00576e-12 t=30955
bian yi 	編譯	c=2 d=2.14046e-12 t=30955
bian yi hou 	編譯後	c=1 d=5.89207e-13 t=30955
bian yi qi 	編譯器	c=1 d=3.19319e-12 t=30955
bian zao 	編造	c=2 d=2.26359e-13 t=30955
biao 	表	c=127 d=0.128581 t=30955
biao da shi 	表達式	c=7 d=0.00181558 t=30955
biao dan 	表單	c=18 d=1.79005e-12 t=30955
biao dui 	表對	c=1 d=2.21286e-21 t=30955
biao ge 	表格	c=62 d=7.23771e-12 t=30955
biao ji 	標記	c=12 d=0.0448245 t=30955
biao li 	表裏	c=1 d=2.59505e-13 t=30955
biao ming 	表名	c=12 d=0.0136851 t=30955
biao qian 	標籤	c=15 d=0.736667 t=30955
biao qian ye 	標籤頁	c=1 d=8.48762e-13 t=30955
biao shi 	標識	c=7 d=0.00214418 t=30955
biao shi 	表示	c=1 d=0.00215492 t=30955
biao shi ming 	表示名	c=3 d=3.36434e-12 t=30955
biao ti 	標題	c=4 d=8.00761e-13 t=30955
biao ti ming 	標題名	c=1 d=9.28691e-13 t=30955
biao tou 	表頭	c=1 d=3.69145e-12 t=30955
biao you 	表有	c=1 d=0.00494193 t=30955
biao zhi 	標誌	c=3 d=8.34141e-26 t=30955
biao zhong 	表中	c=5 d=2.71967e-06 t=30955
biao zhu 	標註	c=1 d=9.81199e-13 t=30955
biao zhun 	標準	c=56 d=0.000139165 t=30955
biao zhun ku 	標準庫	c=1 d=0.00115923 t=30955
bie 	別	c=3 d=3.90107e-12 t=30955
bie ji 	別急	c=1 d=1.89384e-13 t=30955
bie ming 	別名	c=1 d=0.000978001 t=30955
bie ren 	別人	c=1 d=2.93908e-07 t=30955
bie ti 	別提	c=1 d=1.87047e-14 t=30955
bin 	斌	c=1 d=5.78327e-29 t=30955
bing 	並	c=43 d=0.00106483 t=30955
bing 	病	c=2 d=5.75077e-13 t=30955
bing bu 	並不	c=1 d=3.50295e-13 t=30955
bing bu shi 	並不是	c=1 d=1.46403e-14 t=30955
bing fa 	併發	c=2 d=4.63505e-13 t=30955
bing fei 	並非	c=1 d=1.0872e-13 t=30955
bing ji 	並集	c=1 d=6.88109e-15 t=30955
bing ji ling 	冰激凌	c=1 d=1.65665e-27 t=30955
bing jia 	病假	c=1 d=3.04532e-13 t=30955
bing jia dan 	病假單	c=2 d=5.92557e-13 t=30955
bing lie 	並列	c=1 d=0.00453922 t=30955
bing qie 	並且	c=4 d=1.7607e-08 t=30955
bo 	博	c=1 d=1.33802e-14 t=30955
bo 	播	c=1 d=7.64158e-13 t=30955
bo ke 	博客	c=1 d=1.91762e-14 t=30955
bo ke ye 	博客也	c=1 d=4.16281e-14 t=30955
bo ke yuan 	博客園	c=2 d=1.61487e-13 t=30955
bo rui 	博瑞	c=2 d=3.27624e-12 t=30955
bo zhou 	亳州	c=1 d=4.54387e-15 t=30955
bo zhou shi 	亳州市	c=1 d=4.58952e-15 t=30955
bu 	不	c=34 d=0.000274506 t=30955
bu 	布	c=1 d=7.63769e-07 t=30955
bu 	步	c=4 d=5.07985e-10 t=30955
bu 	補	c=1 d=3.29896e-13 t=30955
bu 	部	c=3 d=2.75648e-13 t=30955
bu an 	不安	c=0 d=2.06719e-15 t=30955
bu an zhong 	不安中	c=1 d=2.07756e-14 t=30955
bu bi yao 	不必要	c=1 d=2.55025e-14 t=30955
bu bian 	不變	c=1 d=6.24133e-14 t=30955
bu bin 	不斌	c=1 d=1.47112e-12 t=30955
bu can yu 	不參與	c=1 d=1.02619e-10 t=30955
bu cheng 	不乘	c=1 d=3.11435e-12 t=30955
bu cheng gong 	不成功	c=1 d=7.16069e-13 t=30955
bu chong 	補充	c=1 d=4.91209e-20 t=30955
bu cun 	不存	c=2 d=7.12496e-13 t=30955
bu cun zai 	不存在	c=41 d=2.91293e-11 t=30955
bu dai 	不帶	c=1 d=9.01399e-15 t=30955
bu dao 	不到	c=2 d=6.27261e-14 t=30955
bu deng yu 	不等於	c=2 d=5.98212e-15 t=30955
bu ding 	不定	c=0 d=8.44529e-14 t=30955
bu ding xiang 	不定向	c=1 d=8.48762e-13 t=30955
bu dong 	不懂	c=1 d=2.39553e-13 t=30955
bu dui 	不對	c=1 d=5.25286e-15 t=30955
bu duo 	不多	c=1 d=3.16798e-07 t=30955
bu e 	不餓	c=1 d=1.51514e-06 t=30955
bu er 	布爾	c=8 d=3.009e-13 t=30955
bu er lei xing 	布爾類型	c=1 d=7.49793e-25 t=30955
bu fang 	不放	c=1 d=8.9675e-13 t=30955
bu fang bian 	不方便	c=2 d=1.5621e-12 t=30955
bu fen 	部分	c=17 d=0.0815505 t=30955
bu gai 	不改	c=1 d=1.90301e-11 t=30955
bu geng xin 	不更新	c=1 d=4.22429e-10 t=30955
bu gou 	不夠	c=1 d=2.56923e-14 t=30955
bu gou yong 	不夠用	c=2 d=2.58211e-13 t=30955
bu gu ding 	不固定	c=1 d=6.77864e-15 t=30955
bu guo 	不過	c=5 d=9.75808e-07 t=30955
bu hao 	不好	c=1 d=4.27923e-15 t=30955
bu hao yi si 	不好意思	c=2 d=1.35801e-12 t=30955
bu hui 	不會	c=11 d=2.40681e-06 t=30955
bu hui ba 	不會吧	c=1 d=1.66699e-12 t=30955
bu jia ru 	不加入	c=1 d=6.83724e-28 t=30955
bu jian 	不見	c=1 d=6.54439e-13 t=30955
bu jiao 	補繳	c=3 d=2.43487e-12 t=30955
bu jie qu 	不截取	c=1 d=2.43381e-23 t=30955
bu jiu 	補救	c=1 d=1.38903e-13 t=30955
bu ka 	補卡	c=1 d=2.8903e-16 t=30955
bu kai 	不開	c=1 d=0.000134358 t=30955
bu ke 	不可	c=3 d=2.36722e-12 t=30955
bu ke neng 	不可能	c=2 d=0.00680566 t=30955
bu le 	不了	c=1 d=7.81613e-14 t=30955
bu ma 	補碼	c=1 d=6.91438e-13 t=30955
bu mai 	不買	c=1 d=3.85205e-13 t=30955
bu mang 	不忙	c=1 d=1.24455e-15 t=30955
bu mei you 	不沒有	c=1 d=1.52378e-14 t=30955
bu men 	部門	c=26 d=0.000424807 t=30955
bu ming que 	不明確	c=1 d=2.94769e-12 t=30955
bu neng 	不能	c=36 d=0.946495 t=30955
bu neng shi 	不能是	c=1 d=8.96444e-09 t=30955
bu neng wei 	不能爲	c=1 d=4.36495e-13 t=30955
bu neng yong 	不能用	c=4 d=3.98723e-07 t=30955
bu pi pei 	不匹配	c=2 d=2.05157e-13 t=30955
bu qing chu 	不清楚	c=1 d=1.64867e-29 t=30955
bu qu 	不去	c=2 d=1.41979e-06 t=30955
bu quan 	補全	c=4 d=1.81191e-12 t=30955
bu quan 	部全	c=1 d=1.30161e-13 t=30955
bu ran 	不然	c=5 d=1.98445e-05 t=30955
bu ran ne 	不然呢	c=1 d=0.000199439 t=30955
bu shan 	不刪	c=1 d=1.89352e-11 t=30955
bu sheng cheng 	不生成	c=2 d=0.0746459 t=30955
bu shi 	不是	c=32 d=0.064283 t=30955
bu shi ma 	不是嗎	c=1 d=8.55661e-20 t=30955
bu shi shuo 	不是說	c=0 d=5.34787e-21 t=30955
bu shi yong 	不適用	c=1 d=0.839457 t=30955
bu shu 	部署	c=13 d=4.20431e-12 t=30955
bu shu lian 	不熟練	c=1 d=1.58596e-14 t=30955
bu shu yu 	不屬於	c=0 d=9.88334e-11 t=30955
bu shu yu wo 	不屬於我	c=1 d=9.93288e-10 t=30955
bu shua xin 	部刷新	c=1 d=1.05798e-16 t=30955
bu shuo 	不說	c=1 d=9.05763e-13 t=30955
bu tai 	不太	c=0 d=1.51984e-14 t=30955
bu tai dui 	不太對	c=1 d=1.52746e-13 t=30955
bu tie 	補貼	c=1 d=1.10022e-06 t=30955
bu tong 	不同	c=12 d=0.00180902 t=30955
bu tong bu 	不同步	c=1 d=2.39431e-07 t=30955
bu wei 	不爲	c=7 d=5.24784e-08 t=30955
bu wei 	部位	c=1 d=7.68122e-15 t=30955
bu wei kong 	不爲空	c=2 d=1.49979e-07 t=30955
bu xian shi 	不顯示	c=2 d=1.98614e-14 t=30955
bu xing 	不行	c=1 d=3.18386e-08 t=30955
bu xu yao 	不需要	c=22 d=0.0153538 t=30955
bu yao 	不要	c=3 d=4.38286e-12 t=30955
bu yao you 	不要有	c=1 d=4.05934e-12 t=30955
bu yi lai 	不依賴	c=1 d=0.00275318 t=30955
bu yi zhi 	不一致	c=3 d=3.50446e-13 t=30955
bu yong 	不用	c=4 d=2.10752e-06 t=30955
bu yun xing 	不運行	c=1 d=3.28697e-29 t=30955
bu zai 	不再	c=1 d=1.74159e-27 t=30955
bu zha shi 	不紮實	c=1 d=9.61936e-15 t=30955
bu zheng que 	不正確	c=1 d=0.733447 t=30955
bu zhi chi 	步支持	c=1 d=5.9349e-10 t=30955
bu zhi dao 	不知道	c=10 d=0.000245118 t=30955
bu zhi xing 	不執行	c=2 d=3.40822e-14 t=30955
bu zhou 	步驟	c=8 d=0.0158434 t=30955
bu zou 	步驟	c=3 d=2.45389e-12 t=30955
ca chu 	擦出	c=1 d=1.29826e-12 t=30955
cai 	才	c=8 d=0.00726316 t=30955
cai 	菜	c=1 d=1.60163e-12 t=30955
cai dan 	菜單	c=18 d=2.93855e-11 t=30955
cai dan shang 	菜單上	c=1 d=5.19972e-13 t=30955
cai fan 	採番	c=14 d=0.00636875 t=30955
cai gou 	採購	c=112 d=0.776143 t=30955
cai gou dan jia 	採購單價	c=1 d=0.000276698 t=30955
cai gou duan 	採購段	c=2 d=0.00162053 t=30955
cai gou jia 	採購價	c=15 d=8.0506e-07 t=30955
cai gou ru ku 	採購入庫	c=1 d=1.69599e-09 t=30955
cai gou shu liang 	採購數量	c=1 d=5.19073e-22 t=30955
cai gou ti yun dan hao 	採購提運單號	c=1 d=3.55892e-23 t=30955
cai gou yun shu 	採購運輸	c=1 d=0.000413853 t=30955
cai gou zhuang xiang dan 	採購裝箱單	c=1 d=2.17992e-21 t=30955
cai jiao 	才叫	c=0 d=3.7947e-14 t=30955
cai kuang 	採礦	c=4 d=5.74649e-13 t=30955
cai na 	採納	c=2 d=8.63841e-14 t=30955
cai neng 	才能	c=5 d=4.38058e-12 t=30955
cai shu 	菜蔬	c=1 d=2.73043e-23 t=30955
cai wu 	財務	c=3 d=5.13362e-08 t=30955
cai wu nian yue 	財務年月	c=1 d=4.75138e-11 t=30955
cai yong 	採用	c=1 d=4.14276e-16 t=30955
cai you 	纔有	c=1 d=2.5371e-12 t=30955
can kao 	參考	c=9 d=5.22223e-05 t=30955
can shu 	參數	c=95 d=1.13789 t=30955
can shu li 	參數裏	c=1 d=3.38247e-13 t=30955
can yu 	參與	c=2 d=1.87961e-10 t=30955
can zhao 	參照	c=1 d=1.25445e-20 t=30955
cang 	倉	c=6 d=6.76141e-09 t=30955
cang ku 	倉庫	c=31 d=1.84933e-08 t=30955
cao peng 	曹鵬	c=1 d=1.95623e-12 t=30955
cao zuo 	操作	c=86 d=0.47057 t=30955
cao zuo lei xing 	操作類型	c=2 d=0.802519 t=30955
cao zuo xi tong 	操作系統	c=2 d=3.33846e-06 t=30955
ce 	冊	c=1 d=9.33345e-13 t=30955
ce 	測	c=10 d=1.48176e-05 t=30955
ce shi 	測試	c=44 d=0.0613 t=30955
ce shi gong cheng shi 	測試工程師	c=1 d=6.85611e-31 t=30955
ce shi shu ju 	測試數據	c=2 d=0.335598 t=30955
ce shi yong 	測試用	c=1 d=2.92591e-13 t=30955
ce wan le 	測完了	c=1 d=0.000136389 t=30955
ce yi xia 	冊一下	c=1 d=1.29826e-12 t=30955
ceng 	層	c=37 d=2.75518 t=30955
ceng ji 	層級	c=9 d=0.00105227 t=30955
ceng shu 	層數	c=4 d=0.677675 t=30955
cha 	差	c=1 d=2.74841e-12 t=30955
cha 	查	c=4 d=2.28489e-13 t=30955
cha bu dao 	查不到	c=2 d=7.45291e-13 t=30955
cha cha 	查查	c=1 d=3.042e-30 t=30955
cha chu 	查出	c=2 d=2.19502e-14 t=30955
cha dao 	查到	c=2 d=4.37773e-12 t=30955
cha jian 	插件	c=34 d=0.000872671 t=30955
cha kan 	查看	c=68 d=0.00438923 t=30955
cha le 	查了	c=1 d=1.50472e-13 t=30955
cha ru 	插入	c=45 d=1.34738 t=30955
cha ru biao 	插入表	c=2 d=3.73107e-12 t=30955
cha shou 	查收	c=1 d=3.97896e-12 t=30955
cha xin 	查新	c=4 d=0.00362464 t=30955
cha xun 	查詢	c=124 d=0.0633246 t=30955
cha xun chu 	查詢出	c=1 d=2.04906e-28 t=30955
cha yi xia 	查一下	c=1 d=1.78355e-13 t=30955
cha zhao 	查找	c=6 d=5.86462e-13 t=30955
chai 	拆	c=1 d=1.89842e-12 t=30955
chai fen 	拆分	c=2 d=4.05008e-10 t=30955
chai xian 	拆線	c=1 d=6.04223e-15 t=30955
chan pin 	產品	c=4 d=3.72034e-12 t=30955
chan pin hao 	產品號	c=1 d=3.72919e-14 t=30955
chan sheng 	產生	c=6 d=3.57882e-08 t=30955
chang du 	長度	c=12 d=0.257947 t=30955
chang he 	場合	c=1 d=3.69145e-12 t=30955
chang liang 	常量	c=8 d=7.77187e-06 t=30955
chang liang lei 	常量類	c=1 d=1.13215e-19 t=30955
chang yang 	長陽	c=1 d=6.86683e-20 t=30955
chang yong 	常用	c=7 d=0.000103362 t=30955
chang zheng 	長征	c=2 d=1.57442e-24 t=30955
chao 	超	c=1 d=0.00224287 t=30955
chao guo 	超過	c=2 d=1.15145e-12 t=30955
chao ji 	超級	c=2 d=1.42052e-12 t=30955
chao shi 	超市	c=1 d=1.69363e-22 t=30955
chao shi 	超時	c=1 d=0.00052611 t=30955
che 	車	c=1 d=1.76833e-12 t=30955
che dan 	扯淡	c=1 d=1.3821e-13 t=30955
che kai 	扯開	c=1 d=2.32473e-13 t=30955
che pai 	車牌	c=1 d=1.64245e-14 t=30955
che xiao 	撤銷	c=2 d=1.63928e-13 t=30955
che yao shi 	車鑰匙	c=1 d=1.67535e-12 t=30955
chen 	陳	c=2 d=2.48771e-16 t=30955
cheng 	乘	c=2 d=8.27831e-13 t=30955
cheng 	城	c=1 d=3.28754e-31 t=30955
cheng 	成	c=28 d=0.159614 t=30955
cheng 	稱	c=2 d=6.11774e-14 t=30955
cheng ben 	成本	c=61 d=1.4895 t=30955
cheng du 	程度	c=1 d=6.43139e-14 t=30955
cheng fa 	乘法	c=1 d=0.362402 t=30955
cheng gong 	成功	c=51 d=1.52214 t=30955
cheng gong hou 	成功後	c=1 d=1.1806e-12 t=30955
cheng hu 	稱呼	c=1 d=1.3147e-13 t=30955
cheng ji 	成績	c=1 d=5.37196e-14 t=30955
cheng li 	成立	c=1 d=3.43359e-13 t=30955
cheng ren 	承認	c=1 d=2.48086e-13 t=30955
cheng shi 	城市	c=3 d=0.0272418 t=30955
cheng wei 	成爲	c=5 d=1.5101e-12 t=30955
cheng xian 	呈現	c=2 d=1.18888e-09 t=30955
cheng xu 	程序	c=32 d=0.00340501 t=30955
cheng xu yuan 	程序員	c=6 d=3.70503e-12 t=30955
cheng xu yuan 	程序猿	c=1 d=6.84678e-15 t=30955
cheng zan 	稱讚	c=1 d=2.32473e-13 t=30955
cheng zuo 	稱作	c=1 d=1.35474e-13 t=30955
chi 	吃	c=1 d=1.49259e-06 t=30955
chi duo 	吃多	c=1 d=1.75909e-27 t=30955
chi shen me 	吃什麼	c=1 d=8.42633e-16 t=30955
chi yao 	吃藥	c=1 d=6.94906e-13 t=30955
chi zhi yi heng 	持之以恆	c=1 d=1.09529e-12 t=30955
chong 	蟲	c=2 d=6.68615e-12 t=30955
chong 	重	c=1 d=1.55055e-13 t=30955
chong dian 	充電	c=1 d=3.47885e-20 t=30955
chong die 	重疊	c=4 d=9.25501e-13 t=30955
chong fen 	充分	c=1 d=1.20445e-12 t=30955
chong fu 	重複	c=16 d=1.25631e-06 t=30955
chong fu xing 	重複性	c=1 d=1.89874e-14 t=30955
chong gou 	重構	c=4 d=1.15443e-13 t=30955
chong ming ming 	重命名	c=2 d=1.37166e-12 t=30955
chong qi 	重啓	c=3 d=2.97013e-13 t=30955
chong shang 	崇尚	c=1 d=2.8044e-14 t=30955
chong she 	重設	c=1 d=1.90398e-17 t=30955
chong suan 	重算	c=13 d=1.52755e-08 t=30955
chong tu 	衝突	c=6 d=2.2167e-12 t=30955
chong wen 	重溫	c=1 d=4.10014e-12 t=30955
chong wu 	寵物	c=4 d=2.93544e-06 t=30955
chong xin 	重新	c=80 d=0.00740884 t=30955
chong xin ji suan 	重新計算	c=1 d=5.42409e-10 t=30955
chong xin sheng cheng 	重新生成	c=3 d=3.54611e-10 t=30955
chong zhi 	充值	c=1 d=1.12865e-12 t=30955
