# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	30955
#@/user_id	win7
a 	啊	c=27 d=3.3874 t=29248
bian ji de 	編輯的	c=1 d=1 t=24264
bian ji hang 	編輯行	c=12 d=0.0911727 t=25716
bian ji jie dian 	編輯節點	c=1 d=1 t=26695
bian ji qi 	編輯器	c=1 d=1 t=28306
bian ji qian 	編輯前	c=1 d=1 t=24282
bian kuang 	邊框	c=1 d=0.00195963 t=25716
bian li 	遍歷	c=13 d=1.68632 t=25716
bian liang 	變量	c=30 d=7.54706 t=29597
bian ma 	編碼	c=41 d=1.2995 t=28926
bian xie 	編寫	c=3 d=0.477114 t=25716
bian yi 	編譯	c=2 d=0.509156 t=25716
bian yi hou 	編譯後	c=1 d=0.140156 t=25716
bian yi qi 	編譯器	c=1 d=0.759572 t=25716
bian zao 	編造	c=2 d=0.0538446 t=25716
biao 	表	c=127 d=1.34152 t=30486
biao da shi 	表達式	c=7 d=1.81058 t=29574
biao dan 	表單	c=18 d=0.425804 t=25716
biao dui 	表對	c=1 d=5.26379e-010 t=25716
biao ge 	表格	c=62 d=1.72165 t=25716
biao ji 	標記	c=12 d=1 t=30334
biao li 	表裏	c=1 d=0.0617291 t=25716
biao ming 	表名	c=12 d=2.68735 t=29899
biao qian 	標籤	c=15 d=3.40206 t=30649
biao qian ye 	標籤頁	c=1 d=0.201897 t=25716
biao shi 	標識	c=7 d=1 t=29726
biao shi 	表示	c=1 d=1 t=29727
biao shi ming 	表示名	c=3 d=0.800283 t=25716
biao ti 	標題	c=4 d=0.190479 t=25716
biao ti ming 	標題名	c=1 d=0.22091 t=25716
biao tou 	表頭	c=1 d=0.878095 t=25716
biao you 	表有	c=1 d=1 t=29893
biao zhi 	標誌	c=3 d=1.98419e-014 t=25716
biao zhong 	表中	c=5 d=1 t=28392
biao zhu 	標註	c=1 d=0.2334 t=25716
biao zhun 	標準	c=56 d=0.120651 t=29602
biao zhun ku 	標準庫	c=1 d=1 t=29603
bie 	別	c=3 d=0.927957 t=25716
bie ji 	別急	c=1 d=0.0450492 t=25716
bie ming 	別名	c=1 d=1 t=29569
bie ren 	別人	c=1 d=1 t=27947
bie ti 	別提	c=1 d=0.00444934 t=25716
bin 	斌	c=1 d=1.37568e-017 t=25716
bing 	並	c=43 d=1.00006 t=29586
bing 	病	c=2 d=0.136795 t=25716
bing bu 	並不	c=1 d=0.0833256 t=25716
bing bu shi 	並不是	c=1 d=0.00348252 t=25716
bing fa 	併發	c=2 d=0.110255 t=25716
bing fei 	並非	c=1 d=0.0258615 t=25716
bing ji 	並集	c=1 d=0.00163682 t=25716
bing ji ling 	冰激凌	c=1 d=3.94071e-016 t=25716
bing jia 	病假	c=1 d=0.0724398 t=25716
bing jia dan 	病假單	c=2 d=0.140953 t=25716
bing lie 	並列	c=1 d=1 t=29876
bing qie 	並且	c=4 d=1.00003 t=27384
bo 	博	c=1 d=1 t=24566
bo 	播	c=1 d=0.181772 t=25716
bo ke 	博客	c=1 d=0.00456148 t=25716
bo ke ye 	博客也	c=1 d=0.00990218 t=25716
bo ke yuan 	博客園	c=2 d=0.0384133 t=25716
bo rui 	博瑞	c=2 d=0.779326 t=25716
bo zhou 	亳州	c=1 d=0.00108086 t=25716
bo zhou shi 	亳州市	c=1 d=0.00109172 t=25716
bu 	不	c=34 d=0.100205 t=29775
bu 	布	c=1 d=1 t=28138
bu 	步	c=4 d=0.860218 t=26705
bu 	補	c=1 d=0.0784731 t=25716
bu 	部	c=3 d=0.0655691 t=25716
bu an 	不安	c=0 d=0.000491728 t=25716
bu an zhong 	不安中	c=1 d=0.00494193 t=25716
bu bi yao 	不必要	c=1 d=0.00606634 t=25716
bu bian 	不變	c=1 d=0.0148464 t=25716
bu bin 	不斌	c=1 d=0.349938 t=25716
bu can yu 	不參與	c=1 d=1 t=26355
bu cheng 	不乘	c=1 d=0.740818 t=25716
bu cheng gong 	不成功	c=1 d=0.170333 t=25716
bu chong 	補充	c=1 d=1.16845e-008 t=25716
bu cun 	不存	c=2 d=0.169483 t=25716
bu cun zai 	不存在	c=41 d=4.50741 t=25802
bu dai 	不帶	c=1 d=0.00214418 t=25716
bu dao 	不到	c=2 d=0.0149208 t=25716
bu deng yu 	不等於	c=2 d=0.00142298 t=25716
bu ding 	不定	c=0 d=0.020089 t=25716
bu ding xiang 	不定向	c=1 d=0.201897 t=25716
bu dong 	不懂	c=1 d=0.0569831 t=25716
bu dui 	不對	c=1 d=0.00124951 t=25716
bu duo 	不多	c=1 d=1 t=27962
bu e 	不餓	c=1 d=1 t=28275
bu er 	布爾	c=8 d=0.0715758 t=25716
bu er lei xing 	布爾類型	c=1 d=1.78355e-013 t=25716
bu fang 	不放	c=1 d=0.213312 t=25716
bu fang bian 	不方便	c=2 d=0.37158 t=25716
bu fen 	部分	c=17 d=1.5581 t=30365
bu gai 	不改	c=1 d=1 t=26018
bu geng xin 	不更新	c=1 d=1 t=26638
bu gou 	不夠	c=1 d=0.00611149 t=25716
bu gou yong 	不夠用	c=2 d=0.0614212 t=25716
bu gu ding 	不固定	c=1 d=0.00161245 t=25716
bu guo 	不過	c=5 d=1 t=28187
bu hao 	不好	c=1 d=0.00101791 t=25716
bu hao yi si 	不好意思	c=2 d=0.323033 t=25716
bu hui 	不會	c=11 d=1.21871 t=28328
bu hui ba 	不會吧	c=1 d=0.396531 t=25716
bu jia ru 	不加入	c=1 d=1.62639e-016 t=25716
bu jian 	不見	c=1 d=0.155673 t=25716
bu jiao 	補繳	c=3 d=0.579188 t=25716
bu jie qu 	不截取	c=1 d=5.78936e-012 t=25716
bu jiu 	補救	c=1 d=0.0330412 t=25716
bu ka 	補卡	c=1 d=6.87523e-005 t=25716
bu kai 	不開	c=1 d=1 t=29172
bu ke 	不可	c=3 d=0.563095 t=25716
bu ke neng 	不可能	c=2 d=1 t=29957
bu le 	不了	c=1 d=0.0185924 t=25716
bu ma 	補碼	c=1 d=0.164474 t=25716
bu mai 	不買	c=1 d=1 t=25238
bu mang 	不忙	c=1 d=0.000296045 t=25716
bu mei you 	不沒有	c=1 d=0.00362464 t=25716
bu men 	部門	c=26 d=1.35815 t=29341
bu ming que 	不明確	c=1 d=0.701173 t=25716
bu neng 	不能	c=36 d=1.00001 t=30944
bu neng shi 	不能是	c=1 d=1 t=27249
bu neng wei 	不能爲	c=1 d=1 t=25263
bu neng yong 	不能用	c=4 d=1 t=28008
bu pi pei 	不匹配	c=2 d=0.0488012 t=25716
bu qing chu 	不清楚	c=1 d=3.92173e-018 t=25716
bu qu 	不去	c=2 d=1 t=28262
bu quan 	補全	c=4 d=0.431003 t=25716
bu quan 	部全	c=1 d=0.0309618 t=25716
bu ran 	不然	c=5 d=0.1 t=29250
bu ran ne 	不然呢	c=1 d=1 t=29251
bu shan 	不刪	c=1 d=1 t=26017
bu sheng cheng 	不生成	c=2 d=1 t=30436
bu shi 	不是	c=32 d=1.39172 t=30340
bu shi ma 	不是嗎	c=1 d=2.03538e-008 t=25716
bu shi shuo 	不是說	c=0 d=1.27211e-009 t=25716
bu shi yong 	不適用	c=1 d=1 t=30920
bu shu 	部署	c=13 d=1.00009 t=25716
bu shu lian 	不熟練	c=1 d=0.00377257 t=25716
bu shu yu 	不屬於	c=0 d=0.1 t=26808
bu shu yu wo 	不屬於我	c=1 d=1 t=26809
bu shua xin 	部刷新	c=1 d=2.51664e-005 t=25716
bu shuo 	不說	c=1 d=0.215456 t=25716
bu tai 	不太	c=0 d=0.00361528 t=25716
bu tai dui 	不太對	c=1 d=0.036334 t=25716
bu tie 	補貼	c=1 d=1 t=28211
bu tong 	不同	c=12 d=1.00003 t=29692
bu tong bu 	不同步	c=1 d=1 t=27906
bu wei 	不爲	c=7 d=2.03834 t=27460
bu wei 	部位	c=1 d=0.00182715 t=25716
bu wei kong 	不爲空	c=2 d=1.19989 t=27776
bu xian shi 	不顯示	c=2 d=0.00472447 t=25716
bu xing 	不行	c=1 d=0.1 t=27963
bu xu yao 	不需要	c=22 d=1.94179 t=29987
bu yao 	不要	c=3 d=1.04256 t=25716
bu yao you 	不要有	c=1 d=0.965605 t=25716
bu yi lai 	不依賴	c=1 d=1 t=29776
bu yi zhi 	不一致	c=3 d=0.0833614 t=25716
bu yong 	不用	c=4 d=1 t=28341
bu yun xing 	不運行	c=1 d=7.8188e-018 t=25716
bu zai 	不再	c=1 d=4.14276e-016 t=25716
bu zha shi 	不紮實	c=1 d=0.00228818 t=25716
bu zheng que 	不正確	c=1 d=1 t=30893
bu zhi chi 	步支持	c=1 d=1 t=26706
bu zhi dao 	不知道	c=10 d=1.00123 t=29292
bu zhi xing 	不執行	c=2 d=0.00810722 t=25716
bu zhou 	步驟	c=8 d=1 t=30126
bu zou 	步驟	c=3 d=0.583712 t=25716
ca chu 	擦出	c=1 d=0.308819 t=25716
cai 	才	c=8 d=1.00006 t=29970
cai 	菜	c=1 d=0.380983 t=25716
cai dan 	菜單	c=18 d=6.98999 t=25716
cai dan shang 	菜單上	c=1 d=0.123687 t=25716
cai fan 	採番	c=14 d=1.81058 t=29825
cai gou 	採購	c=112 d=1.68469 t=30800
cai gou dan jia 	採購單價	c=1 d=0.1 t=29777
cai gou duan 	採購段	c=2 d=1 t=29670
cai gou jia 	採購價	c=15 d=1.03319 t=28142
cai gou ru ku 	採購入庫	c=1 d=1 t=26916
cai gou shu liang 	採購數量	c=1 d=1.23473e-010 t=25716
cai gou ti yun dan hao 	採購提運單號	c=1 d=8.46569e-012 t=25716
cai gou yun shu 	採購運輸	c=1 d=1 t=29397
cai gou zhuang xiang dan 	採購裝箱單	c=1 d=5.18542e-010 t=25716
cai jiao 	才叫	c=0 d=0.00902655 t=25716
cai kuang 	採礦	c=4 d=0.136693 t=25716
cai na 	採納	c=2 d=0.0205484 t=25716
cai neng 	才能	c=5 d=1.04202 t=25716
cai shu 	菜蔬	c=1 d=6.49493e-012 t=25716
cai wu 	財務	c=3 d=1.00013 t=27598
cai wu nian yue 	財務年月	c=1 d=1 t=26201
cai yong 	採用	c=1 d=9.85447e-005 t=25716
cai you 	纔有	c=1 d=0.603506 t=25716
can kao 	參考	c=9 d=1 t=28983
can shu 	參數	c=95 d=5.46945 t=30641
can shu li 	參數裏	c=1 d=0.0804596 t=25716
can yu 	參與	c=2 d=1.84082 t=26354
can zhao 	參照	c=1 d=2.984e-009 t=25716
cang 	倉	c=6 d=4.74915 t=26881
cang ku 	倉庫	c=31 d=2.14715 t=27241
cao peng 	曹鵬	c=1 d=0.465334 t=25716
cao zuo 	操作	c=86 d=1.00119 t=30804
cao zuo lei xing 	操作類型	c=2 d=1 t=30911
cao zuo xi tong 	操作系統	c=2 d=1 t=28433
ce 	冊	c=1 d=0.222017 t=25716
ce 	測	c=10 d=0.109187 t=29174
ce shi 	測試	c=44 d=0.368994 t=30596
ce shi gong cheng shi 	測試工程師	c=1 d=1.63088e-019 t=25716
ce shi shu ju 	測試數據	c=2 d=1.99005 t=30599
ce shi yong 	測試用	c=1 d=0.0695994 t=25716
ce wan le 	測完了	c=1 d=1 t=29175
ce yi xia 	冊一下	c=1 d=0.308819 t=25716
ceng 	層	c=37 d=9.56857 t=30706
ceng ji 	層級	c=9 d=1.9802 t=29447
ceng shu 	層數	c=4 d=2.58807 t=30687
cha 	差	c=1 d=0.65377 t=25716
cha 	查	c=4 d=0.0543511 t=25716
cha bu dao 	查不到	c=2 d=0.177284 t=25716
cha cha 	查查	c=1 d=7.23607e-019 t=25716
cha chu 	查出	c=2 d=0.00522135 t=25716
cha dao 	查到	c=2 d=1.04134 t=25716
cha jian 	插件	c=34 d=1.41347 t=29477
cha kan 	查看	c=68 d=1.00642 t=29868
cha le 	查了	c=1 d=0.0357931 t=25716
cha ru 	插入	c=45 d=1.99005 t=30877
cha ru biao 	插入表	c=2 d=0.887519 t=25716
cha shou 	查收	c=1 d=0.946485 t=25716
cha xin 	查新	c=4 d=1 t=29831
cha xun 	查詢	c=124 d=1.14513 t=30376
cha xun chu 	查詢出	c=1 d=4.87415e-017 t=25716
cha yi xia 	查一下	c=1 d=0.0424257 t=25716
cha zhao 	查找	c=6 d=0.139503 t=25716
chai 	拆	c=1 d=0.451581 t=25716
chai fen 	拆分	c=2 d=1.01297 t=26627
chai xian 	拆線	c=1 d=0.00143728 t=25716
chan pin 	產品	c=4 d=0.884965 t=25716
chan pin hao 	產品號	c=1 d=0.00887071 t=25716
chan sheng 	產生	c=6 d=1.13809 t=27500
chang du 	長度	c=12 d=1 t=30684
chang he 	場合	c=1 d=0.878095 t=25716
chang liang 	常量	c=8 d=1 t=28602
chang liang lei 	常量類	c=1 d=2.69307e-008 t=25716
chang yang 	長陽	c=1 d=1.63343e-008 t=25716
chang yong 	常用	c=7 d=2.00919 t=28980
chang zheng 	長征	c=2 d=3.74511e-013 t=25716
chao 	超	c=1 d=1 t=29735
chao guo 	超過	c=2 d=0.273898 t=25716
chao ji 	超級	c=2 d=0.337902 t=25716
chao shi 	超市	c=1 d=4.02867e-011 t=25716
chao shi 	超時	c=1 d=1 t=29445
che 	車	c=1 d=0.420637 t=25716
che dan 	扯淡	c=1 d=0.0328764 t=25716
che kai 	扯開	c=1 d=0.055299 t=25716
che pai 	車牌	c=1 d=0.00390694 t=25716
che xiao 	撤銷	c=2 d=0.0389939 t=25716
che yao shi 	車鑰匙	c=1 d=0.398519 t=25716
chen 	陳	c=2 d=5.91757e-005 t=25716
cheng 	乘	c=2 d=0.196918 t=25716
cheng 	城	c=1 d=7.82014e-020 t=25716
cheng 	成	c=28 d=1 t=30588
cheng 	稱	c=2 d=0.0145524 t=25716
cheng ben 	成本	c=61 d=6.19315 t=30670
cheng du 	程度	c=1 d=0.0152985 t=25716
cheng fa 	乘法	c=1 d=1 t=30752
cheng gong 	成功	c=51 d=1.98401 t=30902
cheng gong hou 	成功後	c=1 d=0.280832 t=25716
cheng hu 	稱呼	c=1 d=0.031273 t=25716
cheng ji 	成績	c=1 d=0.0127784 t=25716
cheng li 	成立	c=1 d=0.0816756 t=25716
cheng ren 	承認	c=1 d=0.0590129 t=25716
cheng shi 	城市	c=3 d=2.96536 t=30017
cheng wei 	成爲	c=5 d=0.35921 t=25716
cheng xian 	呈現	c=2 d=1.01994 t=26841
cheng xu 	程序	c=32 d=1.69468 t=29713
cheng xu yuan 	程序員	c=6 d=0.881323 t=25716
cheng xu yuan 	程序猿	c=1 d=0.00162866 t=25716
cheng zan 	稱讚	c=1 d=0.055299 t=25716
cheng zuo 	稱作	c=1 d=0.0322254 t=25716
chi 	吃	c=1 d=1 t=28272
chi duo 	吃多	c=1 d=4.18439e-016 t=25716
chi shen me 	吃什麼	c=1 d=0.000200439 t=25716
chi yao 	吃藥	c=1 d=0.165299 t=25716
chi zhi yi heng 	持之以恆	c=1 d=0.26054 t=25716
chong 	蟲	c=2 d=1.59045 t=25716
chong 	重	c=1 d=0.0368832 t=25716
chong dian 	充電	c=1 d=8.27522e-009 t=25716
chong die 	重疊	c=4 d=0.220151 t=25716
chong fen 	充分	c=1 d=0.286505 t=25716
chong fu 	重複	c=16 d=1.03839 t=28230
chong fu xing 	重複性	c=1 d=0.00451658 t=25716
chong gou 	重構	c=4 d=0.0274607 t=25716
chong ming ming 	重命名	c=2 d=0.32628 t=25716
chong qi 	重啓	c=3 d=0.0706512 t=25716
chong shang 	崇尚	c=1 d=0.0066709 t=25716
chong she 	重設	c=1 d=4.52904e-006 t=25716
chong suan 	重算	c=13 d=3.77343 t=27090
chong tu 	衝突	c=6 d=0.527292 t=25716
chong wen 	重溫	c=1 d=0.97531 t=25716
chong wu 	寵物	c=4 d=1.10114 t=28388
chong xin 	重新	c=80 d=1.98361 t=29837
chong xin ji suan 	重新計算	c=1 d=1 t=26688
chong xin sheng cheng 	重新生成	c=3 d=1 t=26603
chong zhi 	充值	c=1 d=0.268474 t=25716
chong zhi 	重置	c=21 d=0.747509 t=25716
chong zhi xu lie 	重置序列	c=3 d=0.00895987 t=25716
chu 	出	c=26 d=1.23771 t=27536
chu 	除	c=10 d=0.21481 t=25716
chu bu 	初步	c=1 d=0.0274607 t=25716
chu chang 	出廠	c=1 d=0.600496 t=25716
chu diao 	除掉	c=1 d=0.50409 t=25716
chu fa 	出發	c=1 d=0.172907 t=25716
chu fa 	觸發	c=11 d=1.00001 t=28047
chu fa qi 	觸發器	c=1 d=0.172907 t=25716
chu fang 	處方	c=1 d=0.318224 t=25716
chu huo 	出貨	c=3 d=1.72642 t=28902
chu ji 	初級	c=1 d=0.0018005 t=25716
chu ji cheng xu yuan 	初級程序員	c=1 d=0.00164502 t=25716
chu kou 	出口	c=1 d=1 t=28916
chu ku 	出庫	c=6 d=1.47719 t=28915
chu lai 	出來	c=3 d=0.0536647 t=25716
chu le 	除了	c=2 d=0.0149208 t=25716
chu le ma 	除了嗎	c=1 d=0.017953 t=25716
chu li 	處理	c=38 d=1.92774 t=30058
chu li lei 	處理類	c=1 d=5.87485e-008 t=25716
chu mo ban 	觸摸板	c=1 d=1 t=27180
chu qu 	出去	c=2 d=0.329559 t=25716
chu qu 	除去	c=1 d=0.331211 t=25716
chu sheng 	出生	c=1 d=0.00394621 t=25716
chu shi 	出世	c=1 d=0.0497871 t=25716
chu shi 	初始	c=0 d=5.08707e-021 t=25716
chu shi hua 	初始化	c=54 d=1.54186 t=30544
chu shi zhi 	初始值	c=2 d=1.71747e-010 t=25716
chu wei 	儲位	c=1 d=1 t=26864
chu xian 	出現	c=7 d=1 t=27874
chu yin 	初音	c=1 d=1 t=28996
chu yu 	處於	c=1 d=0.00394621 t=25716
chu yuan 	出院	c=1 d=0.0702988 t=25716
chu zhou 	滁州	c=1 d=1 t=28209
chuan 	串	c=2 d=0.0100028 t=25716
chuan 	傳	c=7 d=0.705642 t=25716
chuan bo 	傳播	c=18 d=5.82745 t=30583
chuan can 	傳參	c=4 d=0.198936 t=25716
chuan dao 	傳到	c=1 d=0.142274 t=25716
chuan di 	傳遞	c=2 d=0.0350844 t=25716
chuan jiao shi 	傳教士	c=1 d=0.00316691 t=25716
chuan ru 	傳入	c=10 d=1.04223 t=26319
chuan shu 	傳輸	c=3 d=0.457617 t=25716
chuan song 	傳送	c=3 d=0.122782 t=25716
chuan zhi 	傳值	c=5 d=0.853917 t=25716
