# Rime user dictionary
#@/db_name	luna_pinyin.userdb.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	24192
#@/user_id	win7
a 	啊	c=76 d=3.54831 t=24192
bai se 	白色	c=2 d=1.29759e-006 t=24192
bai wei 	百位	c=0 d=0.00098528 t=24192
bai wei jiang ren 	百位匠人	c=1 d=0.00990218 t=24192
bai xing tao 	白興桃	c=4 d=0.960789 t=24192
ban 	伴	c=1 d=0.0443785 t=24192
ban 	半	c=1 d=0.0028799 t=24192
ban 	搬	c=2 d=0.0030908 t=24192
ban 	板	c=4 d=0.554327 t=24192
ban 	版	c=5 d=0.903287 t=24192
ban 	班	c=1 d=0.034562 t=24192
ban 	辦	c=4 d=0.00286554 t=24192
ban ben 	版本	c=24 d=0.904589 t=24192
ban ben ku 	版本庫	c=5 d=0.307279 t=24192
ban bian 	半邊	c=1 d=1.63738e-013 t=24192
ban che 	班車	c=1 d=0.00219846 t=24192
ban de 	搬的	c=0 d=1.41439e-021 t=24192
ban de jia 	搬的家	c=1 d=1.42148e-020 t=24192
ban fa 	辦法	c=2 d=0.0578443 t=24192
ban ge 	半個	c=1 d=3.75567e-009 t=24192
ban ge yue 	半個月	c=1 d=3.32238e-008 t=24192
ban jia 	搬家	c=2 d=1.73706e-021 t=24192
ban jia le 	搬家了	c=1 d=7.74364e-022 t=24192
ban jia qi 	半加器	c=1 d=0.0204453 t=24192
ban jiao 	半角	c=2 d=0.189196 t=24192
ban li 	辦理	c=2 d=1.37253e-006 t=24192
ban lv 	伴侶	c=1 d=1.9119e-007 t=24192
ban nian 	半年	c=1 d=1.30432e-008 t=24192
ban shi 	辦事	c=1 d=1.69801e-023 t=24192
ban wa gong 	搬瓦工	c=3 d=2.32528e-020 t=24192
ban wa gong 	板瓦工	c=2 d=8.83455e-006 t=24192
ban zhang 	班長	c=1 d=0.0237541 t=24192
ban zhang 	辦張	c=1 d=3.4088e-016 t=24192
bang 	棒	c=3 d=0.480067 t=24192
bang 	邦	c=1 d=0.00355287 t=24192
bang ding 	綁定	c=9 d=0.0839299 t=24192
bang ku 	綁庫	c=1 d=0.0100518 t=24192
bang le 	棒了	c=1 d=0.159614 t=24192
bang mang 	幫忙	c=1 d=5.79231e-018 t=24192
bang ni 	幫你	c=2 d=0.721893 t=24192
bang wo 	幫我	c=2 d=1.19239 t=24192
bang zhu 	幫助	c=3 d=0.165299 t=24192
bao 	包	c=42 d=1.77295 t=24192
bao 	報	c=5 d=0.193849 t=24192
bao 	孢	c=1 d=0.0290133 t=24192
bao 	寶	c=2 d=1.56938e-008 t=24192
bao 	抱	c=1 d=0.0267827 t=24192
bao bao 	寶寶	c=2 d=6.26015e-021 t=24192
bao biao 	報表	c=2 d=0.130146 t=24192
bao chi 	保持	c=5 d=0.00154331 t=24192
bao cun 	保存	c=107 d=4.6994 t=24192
bao cun zai 	保存在	c=1 d=0.458406 t=24192
bao cuo 	報錯	c=14 d=0.372879 t=24192
bao gao 	報告	c=1 d=0.273898 t=24192
bao ge 	抱個	c=1 d=0.0792617 t=24192
bao gui 	寶貴	c=1 d=0.00621991 t=24192
bao han 	包含	c=3 d=0.564731 t=24192
bao jia 	報價	c=337 d=9.2268 t=24192
bao jia dan hao 	報價單號	c=1 d=1.16663e-019 t=24192
bao jia fang 	報價方	c=3 d=0.233467 t=24192
bao jia ri qi 	報價日期	c=1 d=9.42085e-005 t=24192
bao kuo 	包括	c=2 d=0.0342181 t=24192
bao li 	包裏	c=3 d=0.622446 t=24192
bao li 	暴力	c=1 d=2.43339e-021 t=24192
bao liu 	保留	c=12 d=0.647353 t=24192
bao man 	暴漫	c=1 d=1.00395e-017 t=24192
bao ming 	報名	c=2 d=1.82256e-024 t=24192
bao pan 	報盤	c=1 d=0.0280154 t=24192
bao qian 	抱歉	c=1 d=4.53598e-024 t=24192
bao shui 	保稅	c=9 d=0.643331 t=24192
bao shun feng 	包順豐	c=1 d=4.92649e-025 t=24192
bao tang 	煲湯	c=1 d=1.64301e-018 t=24192
bao wei 	包圍	c=1 d=1.15384e-007 t=24192
bao xia 	包下	c=1 d=0.00235786 t=24192
bao xian 	保險	c=5 d=8.74594e-017 t=24192
bao xian fei 	保險費	c=2 d=1.61802e-014 t=24192
bao you 	包郵	c=1 d=5.96364e-008 t=24192
bao zha 	爆炸	c=1 d=2.33599e-011 t=24192
bao zhang 	保障	c=1 d=5.41193e-013 t=24192
bao zheng 	保證	c=1 d=0.425283 t=24192
bao zheng guo 	保證過	c=1 d=1.01125e-014 t=24192
bao zhi bao liang 	保質保量	c=1 d=1.70565e-017 t=24192
bao zhuang 	包裝	c=81 d=1.81781 t=24192
bao zhuang hao 	包裝號	c=1 d=1.13411e-010 t=24192
bao zou 	暴走	c=10 d=2.40312e-005 t=24192
bei 	北	c=1 d=3.77052e-026 t=24192
bei 	唄	c=6 d=0.526387 t=24192
bei 	被	c=9 d=0.0229442 t=24192
bei da 	北大	c=1 d=5.15237e-023 t=24192
bei fen 	備份	c=12 d=1.26263 t=24192
bei hou 	背後	c=2 d=9.72336e-017 t=24192
bei jing 	北京	c=3 d=0.00279479 t=24192
bei jing 	背景	c=6 d=0.773044 t=24192
bei jing se 	背景色	c=2 d=2.20147e-007 t=24192
bei ke 	備課	c=1 d=0.268474 t=24192
bei mian 	背面	c=1 d=3.80582e-018 t=24192
bei shu 	倍數	c=1 d=7.4107e-005 t=24192
bei song 	背誦	c=1 d=0.0837432 t=24192
bei wang 	備忘	c=1 d=0.000387808 t=24192
bei wo li 	被窩裏	c=1 d=0.88692 t=24192
bei ye 	貝葉	c=0 d=8.71757e-005 t=24192
bei ye si 	貝葉斯	c=4 d=0.000876127 t=24192
bei ying 	北影	c=3 d=1.51769e-022 t=24192
bei zhu 	備註	c=12 d=1.10041 t=24192
bei zi 	被子	c=1 d=0.110251 t=24192
bei zi ji 	被自己	c=1 d=0.161218 t=24192
ben 	本	c=2 d=0.12493 t=24192
ben 	笨	c=1 d=1.5931e-008 t=24192
ben di 	本地	c=9 d=0.811917 t=24192
ben di cang ku 	本地倉庫	c=1 d=0.00323088 t=24192
ben fang fa 	本方法	c=1 d=0.0483156 t=24192
ben ke 	本科	c=4 d=0.00556013 t=24192
ben lai 	本來	c=1 d=5.15062e-019 t=24192
ben pao 	奔跑	c=4 d=0.582882 t=24192
ben shen 	本身	c=4 d=0.0773047 t=24192
ben shi 	本事	c=1 d=4.09234e-019 t=24192
ben teng 	奔騰	c=1 d=3.02385e-018 t=24192
ben tian 	本田	c=1 d=2.42085e-019 t=24192
ben wei 	本位	c=3 d=4.55329e-010 t=24192
ben wei bi 	本位幣	c=5 d=4.91009e-019 t=24192
ben wei bi zhong 	本位幣種	c=2 d=4.73912e-010 t=24192
ben wen 	本文	c=1 d=2.14673e-017 t=24192
ben zhi 	本質	c=10 d=0.0658748 t=24192
bi 	幣	c=1 d=0.164474 t=24192
bi 	比	c=5 d=0.406505 t=24192
bi 	筆	c=1 d=0.606531 t=24192
bi bao 	閉包	c=2 d=0.0138428 t=24192
bi bei 	必備	c=1 d=0.960789 t=24192
bi chi 	碧池	c=1 d=0.0409665 t=24192
bi ding 	必定	c=1 d=2.44351e-011 t=24192
bi hu 	壁虎	c=2 d=0.0801164 t=24192
bi ji 	筆記	c=9 d=0.355809 t=24192
bi ji ben 	筆記本	c=5 d=0.0224829 t=24192
bi jiao 	比較	c=11 d=0.195148 t=24192
bi jing 	畢竟	c=1 d=0.00511796 t=24192
bi li 	比例	c=1 d=2.99427e-020 t=24192
bi li bi li 	嗶哩嗶哩	c=1 d=0.67032 t=24192
bi lv 	比率	c=2 d=1.41755e-018 t=24192
bi mian 	避免	c=1 d=8.05144e-010 t=24192
bi qi lai 	比起來	c=1 d=0.0547488 t=24192
bi ta 	比它	c=1 d=5.84854e-014 t=24192
bi te 	比特	c=3 d=0.174645 t=24192
bi te bi 	比特比	c=2 d=6.60386e-023 t=24192
bi tian 	必填	c=3 d=0.98526 t=24192
bi tian xiang 	必填項	c=3 d=0.396535 t=24192
bi xu 	必須	c=8 d=0.925254 t=24192
bi yao 	必要	c=1 d=0.000274654 t=24192
bi ye 	畢業	c=10 d=0.104434 t=24192
bi ye sheng 	畢業生	c=1 d=3.64777e-019 t=24192
bi ying 	必應	c=1 d=0.17388 t=24192
bi ying ci dian 	必應詞典	c=2 d=0.271349 t=24192
bi zhi 	壁紙	c=3 d=0.600496 t=24192
bi zhong 	幣種	c=47 d=0.33454 t=24192
bian 	編	c=1 d=0.0261214 t=24192
bian 	變	c=4 d=0.351692 t=24192
bian 	遍	c=1 d=0.22091 t=24192
bian 	邊	c=2 d=1.50472e-014 t=24192
bian cheng 	編程	c=40 d=1.1789 t=24192
bian cheng 	變成	c=2 d=1.24434e-013 t=24192
bian dao 	變到	c=1 d=0.102797 t=24192
bian geng 	變更	c=13 d=1.51672 t=24192
bian geng hou 	變更後	c=1 d=0.479505 t=24192
bian hao 	編號	c=15 d=1.92687 t=24192
bian hua 	變化	c=4 d=0.181772 t=24192
bian huan 	變幻	c=1 d=1.62246e-017 t=24192
bian hui 	變灰	c=1 d=0.375311 t=24192
bian ji 	編輯	c=36 d=1.42531 t=24192
bian ji bu 	編輯部	c=1 d=0.774916 t=24192
bian ji hang 	編輯行	c=7 d=0.0911727 t=24192
bian ji qi 	編輯器	c=2 d=0.000750328 t=24192
bian jie 	邊界	c=1 d=0.000111666 t=24192
bian ke 	便可	c=0 d=8.03475e-016 t=24192
bian ke wan quan 	便可完全	c=1 d=8.07503e-015 t=24192
bian kuang 	邊框	c=1 d=0.00195963 t=24192
bian li 	遍歷	c=13 d=1.68632 t=24192
bian liang 	變量	c=31 d=1.64114 t=24192
bian liang biao 	變量表	c=2 d=2.01788e-015 t=24192
bian ma 	編碼	c=37 d=0.47502 t=24192
bian qing 	變輕	c=1 d=2.16271e-016 t=24192
bian xian 	變現	c=1 d=3.71312e-022 t=24192
bian xie 	編寫	c=3 d=0.477114 t=24192
bian yi 	編譯	c=2 d=0.509156 t=24192
bian yi hou 	編譯後	c=1 d=0.140156 t=24192
bian yi qi 	編譯器	c=2 d=0.759572 t=24192
bian yi qi 	編譯期	c=1 d=3.202e-015 t=24192
bian yi qi jian 	編譯期間	c=1 d=1.23835e-015 t=24192
bian zao 	編造	c=2 d=0.0538446 t=24192
biao 	表	c=112 d=3.49716 t=24192
biao da shi 	表達式	c=7 d=0.593686 t=24192
biao dan 	表單	c=18 d=0.425804 t=24192
biao dui 	表對	c=1 d=5.26379e-010 t=24192
biao ge 	表哥	c=2 d=4.86279e-009 t=24192
biao ge 	表格	c=62 d=1.72165 t=24192
biao ji 	標記	c=11 d=3.12822 t=24192
biao li 	表裏	c=1 d=0.0617291 t=24192
biao ming 	表名	c=9 d=1.07734 t=24192
biao qian 	標籤	c=11 d=0.544041 t=24192
biao qian ye 	標籤頁	c=1 d=0.201897 t=24192
biao qing 	表情	c=2 d=0.0561348 t=24192
biao qing yun 	表情雲	c=1 d=1.27827e-006 t=24192
biao shi 	標識	c=6 d=0.667659 t=24192
biao shi 	表示	c=1 d=0.032628 t=24192
biao shi fu 	標識符	c=1 d=2.07649e-008 t=24192
biao shi ming 	表示名	c=3 d=0.800283 t=24192
biao ti 	標題	c=6 d=0.190479 t=24192
biao ti ming 	標題名	c=1 d=0.22091 t=24192
biao tou 	表頭	c=1 d=0.878095 t=24192
biao zheng 	表徵	c=1 d=2.90677e-024 t=24192
biao zhi 	標誌	c=3 d=1.98419e-014 t=24192
biao zhong 	表中	c=4 d=0.0150065 t=24192
biao zhu 	標註	c=1 d=0.2334 t=24192
biao zhun 	標準	c=54 d=6.85824 t=24192
bie 	別	c=5 d=0.927957 t=24192
bie 	憋	c=1 d=0.0239928 t=24192
bie ji 	別急	c=1 d=0.0450492 t=24192
bie ming 	別名	c=4 d=0.000796726 t=24192
bie ren 	別人	c=2 d=0.217524 t=24192
bie ti 	別提	c=1 d=0.00444934 t=24192
bin 	斌	c=1 d=1.37568e-017 t=24192
bing 	並	c=33 d=1.00484 t=24192
bing 	病	c=2 d=0.136795 t=24192
bing bing 	冰冰	c=1 d=0.540641 t=24192
bing bu 	並不	c=1 d=0.0833256 t=24192
bing bu shi 	並不是	c=1 d=0.00348252 t=24192
bing fa 	併發	c=2 d=0.110255 t=24192
bing fei 	並非	c=1 d=0.0258615 t=24192
bing he 	冰河	c=1 d=1.08215e-017 t=24192
bing ji 	並集	c=1 d=0.00163682 t=24192
bing ji ling 	冰激凌	c=1 d=3.94071e-016 t=24192
bing jia 	病假	c=1 d=0.0724398 t=24192
bing jia dan 	病假單	c=2 d=0.140953 t=24192
bing jiang 	並將	c=2 d=0.0837433 t=24192
bing qie 	並且	c=3 d=0.0225956 t=24192
bing zai 	並在	c=1 d=8.53741e-023 t=24192
bo 	播	c=1 d=0.181772 t=24192
bo 	波	c=1 d=0.0205478 t=24192
bo ang 	波昂	c=1 d=4.05231e-021 t=24192
bo duo 	波多	c=1 d=0.00170362 t=24192
bo fang 	播放	c=1 d=2.60221e-016 t=24192
bo ke 	博客	c=7 d=0.156764 t=24192
bo ke ye 	博客也	c=1 d=0.00990218 t=24192
bo ke yuan 	博客園	c=2 d=0.0384133 t=24192
bo rui 	博瑞	c=8 d=0.779326 t=24192
bo shi dun 	波士頓	c=1 d=1.81674e-024 t=24192
bo tong 	撥通	c=0 d=5.73175e-013 t=24192
bo ya 	伯牙	c=1 d=0.0867261 t=24192
bo yi lun 	博弈論	c=3 d=5.15149e-021 t=24192
bo zhou 	亳州	c=1 d=0.00108086 t=24192
bo zhou shi 	亳州市	c=1 d=0.00109172 t=24192
bo zhu 	博主	c=2 d=0.389507 t=24192
bu 	不	c=26 d=1.79078 t=24192
bu 	布	c=1 d=1.35492e-006 t=24192
bu 	步	c=2 d=0.0911727 t=24192
bu 	補	c=3 d=0.138069 t=24192
bu 	部	c=3 d=0.313486 t=24192
bu ai chi 	不愛吃	c=1 d=0.00802655 t=24192
bu an 	不安	c=0 d=0.000491728 t=24192
bu an zhong 	不安中	c=1 d=0.00494193 t=24192
bu bao kuo 	不包括	c=1 d=9.86286e-015 t=24192
bu bi yao 	不必要	c=1 d=0.00606634 t=24192
bu bian 	不便	c=1 d=4.60454e-024 t=24192
bu bian 	不變	c=1 d=0.0148464 t=24192
bu bin 	不斌	c=1 d=0.349938 t=24192
bu chai 	不拆	c=1 d=3.59909e-008 t=24192
bu cheng 	不乘	c=1 d=0.740818 t=24192
bu cheng gong 	不成功	c=1 d=0.170333 t=24192
bu chi 	不吃	c=2 d=0.00831262 t=24192
bu chong 	補充	c=1 d=1.16845e-008 t=24192
bu chu 	不出	c=1 d=6.86799e-022 t=24192
bu cun 	不存	c=2 d=0.169483 t=24192
bu cun zai 	不存在	c=39 d=5.39179 t=24192
bu cuo 	不錯	c=2 d=2.39044e-021 t=24192
bu da kai 	布打開	c=1 d=2.44859e-006 t=24192
bu da suan 	不打算	c=1 d=3.41995e-025 t=24192
bu dai 	不帶	c=1 d=0.00214418 t=24192
bu dao 	不到	c=2 d=0.0149208 t=24192
bu de bu 	不得不	c=1 d=1.47212e-020 t=24192
bu deng yu 	不等於	c=1 d=1.99541e-010 t=24192
bu ding 	不定	c=0 d=0.020089 t=24192
bu ding xiang 	不定向	c=1 d=0.201897 t=24192
bu dong 	不懂	c=2 d=0.0569831 t=24192
bu duan 	不斷	c=2 d=6.06395e-022 t=24192
bu dui 	不對	c=3 d=0.00124951 t=24192
bu duo 	不多	c=1 d=1.28468e-006 t=24192
bu e 	不餓	c=1 d=1.08362 t=24192
bu e ne 	不餓呢	c=1 d=0.99005 t=24192
bu er 	布爾	c=8 d=0.0715758 t=24192
bu er lei xing 	布爾類型	c=1 d=1.78355e-013 t=24192
bu er zhi 	布爾值	c=1 d=8.87675e-011 t=24192
bu fan 	不凡	c=0 d=1.21424e-020 t=24192
bu fang 	不放	c=1 d=0.213312 t=24192
bu fang bian 	不方便	c=2 d=0.37158 t=24192
bu fen 	部分	c=13 d=0.338401 t=24192
bu gai 	不該	c=1 d=1.16945e-018 t=24192
bu gai bian 	不改變	c=1 d=1.33479e-015 t=24192
bu gao 	不高	c=1 d=6.67886e-017 t=24192
bu gou 	不夠	c=4 d=0.219808 t=24192
bu gou hao 	不夠好	c=1 d=7.0189e-013 t=24192
bu gou yong 	不夠用	c=2 d=0.0614212 t=24192
bu gu ding 	不固定	c=1 d=0.00161245 t=24192
bu guan 	不管	c=1 d=1.73972e-016 t=24192
bu guan le 	不管了	c=1 d=1.70125e-016 t=24192
bu guo 	不過	c=12 d=0.223195 t=24192
bu hao 	不好	c=5 d=0.229925 t=24192
bu hao shuo 	不好說	c=1 d=2.03711e-018 t=24192
bu hao yi si 	不好意思	c=2 d=0.323033 t=24192
bu hui 	不會	c=10 d=0.888307 t=24192
bu hui ba 	不會吧	c=1 d=0.396531 t=24192
bu hui lai 	補回來	c=1 d=8.25526e-010 t=24192
bu huo 	捕獲	c=1 d=7.23142e-011 t=24192
bu ji 	不給	c=0 d=7.67728e-010 t=24192
bu ji liu liang 	不給流量	c=2 d=1.55091e-008 t=24192
bu jia ru 	不加入	c=1 d=1.62639e-016 t=24192
bu jia zai 	不加載	c=1 d=3.07855e-023 t=24192
bu jian 	不見	c=2 d=0.155673 t=24192
bu jiao 	補繳	c=3 d=0.579188 t=24192
bu jie qu 	不截取	c=1 d=5.78936e-012 t=24192
bu jiu 	補救	c=1 d=0.0330412 t=24192
bu ju 	佈局	c=1 d=2.53753e-014 t=24192
bu jue de 	不覺得	c=0 d=4.01131e-020 t=24192
bu ka 	不卡	c=1 d=9.26924e-020 t=24192
bu ka 	補卡	c=1 d=6.87523e-005 t=24192
bu ke 	不可	c=2 d=0.563095 t=24192
bu ke bian 	不可變	c=3 d=4.0462e-009 t=24192
bu ke neng 	不可能	c=1 d=0.183599 t=24192
bu ke yi 	不可以	c=1 d=2.52444e-012 t=24192
bu ke yong 	補可用	c=2 d=2.66345e-017 t=24192
bu lai 	不來	c=0 d=2.05548e-007 t=24192
bu le 	不了	c=2 d=0.546074 t=24192
bu leng 	不冷	c=1 d=0.941765 t=24192
bu li wo 	不理我	c=1 d=0.729789 t=24192
bu lian xu 	不連續	c=1 d=2.25641e-015 t=24192
bu liang 	不良	c=1 d=6.96942e-018 t=24192
bu liao 	不了	c=3 d=7.00659e-018 t=24192
bu ma 	補碼	c=1 d=0.164474 t=24192
bu mai 	不買	c=1 d=9.86958e-023 t=24192
bu mang 	不忙	c=2 d=0.000296045 t=24192
bu mei you 	不沒有	c=1 d=0.00362464 t=24192
bu men 	部門	c=22 d=2.42184 t=24192
bu ming que 	不明確	c=1 d=0.701173 t=24192
bu neng 	不能	c=25 d=0.909846 t=24192
bu neng yong 	不能用	c=3 d=0.0374406 t=24192
bu nu li 	不努力	c=1 d=0.726149 t=24192
bu pi pei 	不匹配	c=2 d=0.0488012 t=24192
bu qing chu 	不清楚	c=1 d=5.98009e-012 t=24192
bu qiong 	不窮	c=1 d=1.69714e-017 t=24192
bu qu 	不去	c=8 d=0.15259 t=24192
bu qu fen 	不區分	c=1 d=6.3488e-009 t=24192
bu quan 	補全	c=2 d=0.016055 t=24192
bu quan 	部全	c=1 d=0.0309618 t=24192
bu que ding 	不確定	c=2 d=9.16921e-010 t=24192
bu ran 	不然	c=5 d=0.774149 t=24192
bu re 	不熱	c=0 d=5.53838e-021 t=24192
bu rong yi 	不容易	c=1 d=1.7576e-017 t=24192
bu shang 	不上	c=2 d=0.00673795 t=24192
bu shao ren 	不少人	c=1 d=0.0146253 t=24192
bu sheng cheng 	不生成	c=1 d=0.00465413 t=24192
bu shi 	不是	c=35 d=1.82473 t=24192
bu shi bie 	不識別	c=1 d=0.00621991 t=24192
bu shi ma 	不是嗎	c=1 d=2.03538e-008 t=24192
bu shi shuo 	不是說	c=0 d=1.27211e-009 t=24192
bu shu 	部署	c=13 d=1.00009 t=24192
bu shu lian 	不熟練	c=1 d=0.00377257 t=24192
bu shua xin 	部刷新	c=1 d=2.51664e-005 t=24192
bu shuo 	不說	c=1 d=0.215456 t=24192
bu tai 	不太	c=0 d=0.00361528 t=24192
bu tai dui 	不太對	c=1 d=0.036334 t=24192
bu tong 	不同	c=10 d=0.550989 t=24192
bu tu bu kuai 	不吐不快	c=1 d=1.05181e-006 t=24192
bu wei 	不爲	c=5 d=0.101745 t=24192
bu wei 	部位	c=1 d=0.00182715 t=24192
bu wen ding 	不穩定	c=1 d=3.66543e-017 t=24192
bu xi 	補習	c=1 d=1.66813e-020 t=24192
bu xi huan 	不喜歡	c=1 d=1.39576e-011 t=24192
bu xia 	不下	c=1 d=0.790571 t=24192
bu xian shi 	不顯示	c=2 d=0.00472447 t=24192
bu xiang 	不想	c=4 d=1.3589e-005 t=24192
bu xiang lin 	不相鄰	c=1 d=9.35762e-014 t=24192
bu xing 	不行	c=2 d=0.00472447 t=24192
bu xu yao 	不需要	c=15 d=1.17583 t=24192
bu yao 	不要	c=6 d=1.04256 t=24192
bu yao dai 	不腰帶	c=1 d=8.06953e-007 t=24192
bu yao dai 	不要帶	c=1 d=8.10998e-007 t=24192
bu yao de 	不要的	c=1 d=8.02929e-007 t=24192
bu yao you 	不要有	c=1 d=0.965605 t=24192
bu ye 	不也	c=0 d=1.49645e-008 t=24192
bu ye yao qian 	不也要錢	c=1 d=1.50395e-007 t=24192
bu yi ding 	不一定	c=1 d=1.48666e-018 t=24192
bu yi yang 	不一樣	c=1 d=0.214381 t=24192
bu yi zhi 	不一致	c=3 d=0.0833614 t=24192
bu yong 	不用	c=7 d=0.178312 t=24192
bu yuan 	不遠	c=0 d=4.06349e-025 t=24192
bu yuan wang 	不遠望	c=1 d=4.08386e-024 t=24192
bu yun xing 	不運行	c=1 d=7.8188e-018 t=24192
bu za 	不咋	c=1 d=0.224249 t=24192
bu zai 	不再	c=1 d=4.14276e-016 t=24192
bu zao 	不早	c=0 d=4.67174e-019 t=24192
bu zao shuo 	不早說	c=1 d=4.69516e-018 t=24192
bu zha shi 	不紮實	c=1 d=0.00228818 t=24192
bu zhang jia 	不漲價	c=1 d=1.13099e-007 t=24192
bu zhi dao 	不知道	c=21 d=1.49141 t=24192
bu zhi xing 	不執行	c=2 d=0.00810722 t=24192
bu zhou 	步驟	c=2 d=0.00117675 t=24192
bu zhu 	不住	c=1 d=9.8679e-021 t=24192
bu zou 	步驟	c=3 d=0.583712 t=24192
bu zu 	不足	c=1 d=4.30216e-019 t=24192
bu zuo 	不做	c=1 d=0.0697676 t=24192
ca chu 	擦出	c=1 d=0.308819 t=24192
ca chu 	擦除	c=1 d=1.47237e-022 t=24192
cai 	才	c=7 d=0.1764 t=24192
cai 	猜	c=3 d=0.0002871 t=24192
cai 	菜	c=1 d=0.380983 t=24192
cai 	蔡	c=2 d=6.52646e-021 t=24192
cai 	裁	c=1 d=8.71905e-006 t=24192
cai 	踩	c=0 d=2.67545e-020 t=24192
cai ben 	彩本	c=1 d=1.9478e-020 t=24192
cai bu 	纔不	c=0 d=3.18712e-020 t=24192
cai bu gu dan 	纔不孤單	c=1 d=3.20309e-019 t=24192
cai bu hui 	纔不會	c=1 d=1.24498e-019 t=24192
cai dan 	菜單	c=18 d=6.98999 t=24192
cai dan shang 	菜單上	c=1 d=0.123687 t=24192
