# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	51595
#@/user_id	macbook
a 	啊	c=254 d=4.68748 t=51595
bei hai 	貝海	c=1 d=2.17695e-05 t=51595
bei hou 	背後	c=2 d=2.56879e-12 t=51595
bei jing 	北京	c=6 d=0.569631 t=51595
bei jing 	背景	c=16 d=0.25411 t=51595
bei jing se 	背景色	c=5 d=3.25534e-06 t=51595
bei ke 	備課	c=1 d=1.82305e-06 t=51595
bei mian 	背面	c=1 d=5.49636e-48 t=51595
bei ren 	被人	c=1 d=4.45313e-13 t=51595
bei shan 	被刪	c=1 d=5.38402e-11 t=51595
bei shu 	倍數	c=1 d=1.07025e-34 t=51595
bei song 	背誦	c=1 d=5.6865e-07 t=51595
bei tao 	被套	c=2 d=2.67726e-18 t=51595
bei wang 	備忘	c=1 d=2.63337e-09 t=51595
bei wo li 	被窩裏	c=1 d=1.28089e-30 t=51595
bei ye 	貝葉	c=0 d=1.25899e-34 t=51595
bei ye si 	貝葉斯	c=23 d=0.873716 t=51595
bei ying 	北影	c=3 d=3.12979e-37 t=51595
bei yong 	備用	c=1 d=5.9053e-10 t=51595
bei yong jin 	備用金	c=1 d=1.25924e-06 t=51595
bei zhu 	備註	c=12 d=7.47223e-06 t=51595
bei zi 	被子	c=2 d=0.548812 t=51595
bei zi ji 	被自己	c=1 d=2.32831e-31 t=51595
ben 	本	c=3 d=0.215458 t=51595
ben 	笨	c=2 d=7.87566e-15 t=51595
ben di 	本地	c=15 d=5.51325e-06 t=51595
ben di cang ku 	本地倉庫	c=1 d=2.1939e-08 t=51595
ben duo 	本多	c=0 d=1.11742e-13 t=51595
ben duo yi 	本多翼	c=1 d=1.12302e-12 t=51595
ben fang fa 	本方法	c=1 d=3.28082e-07 t=51595
ben ke 	本科	c=7 d=4.89442e-07 t=51595
ben lai 	本來	c=6 d=0.0106559 t=51595
ben pao 	奔跑	c=5 d=3.958e-06 t=51595
ben ren 	本人	c=1 d=1 t=49183
ben shen 	本身	c=4 d=5.2493e-07 t=51595
ben shi 	本事	c=1 d=5.91014e-49 t=51595
ben teng 	奔騰	c=1 d=4.36703e-48 t=51595
ben tian 	本田	c=1 d=3.49618e-49 t=51595
ben wei 	本位	c=6 d=1.5179e-11 t=51595
ben wei bi 	本位幣	c=10 d=4.91474e-10 t=51595
ben wei bi dan jia 	本位幣單價	c=1 d=1.6919e-10 t=51595
ben wei bi zhong 	本位幣種	c=3 d=1.68346e-10 t=51595
ben wen 	本文	c=1 d=4.427e-32 t=51595
ben yuan 	本源	c=1 d=0.367879 t=51595
ben zhi 	本質	c=10 d=4.47317e-07 t=51595
beng le 	崩了	c=1 d=1.63793e-11 t=51595
bi 	壁	c=1 d=3.19319e-12 t=51595
bi 	幣	c=2 d=0.000964558 t=51595
bi 	比	c=17 d=0.637717 t=51595
bi 	筆	c=1 d=8.75949e-31 t=51595
bi bao 	閉包	c=2 d=9.39982e-08 t=51595
bi bei 	必備	c=1 d=6.52415e-06 t=51595
bi bu liao 	比不了	c=2 d=0.288128 t=51595
bi chi 	碧池	c=1 d=5.91637e-32 t=51595
bi ding 	必定	c=1 d=1.65924e-16 t=51595
bi hu 	壁虎	c=2 d=5.44023e-07 t=51595
bi ji 	筆記	c=16 d=0.421056 t=51595
bi ji ben 	筆記本	c=13 d=0.657047 t=51595
bi ji ben dian nao 	💻	c=1 d=0.25284 t=51595
bi jiao 	比較	c=15 d=0.144424 t=51595
bi jing 	畢竟	c=3 d=0.00694315 t=51595
bi li 	比例	c=18 d=0.145148 t=51595
bi li bi li 	嗶哩嗶哩	c=1 d=9.68074e-31 t=51595
bi lu 	璧爐	c=1 d=0.0119742 t=51595
bi lv 	比率	c=3 d=0.000164106 t=51595
bi mian 	避免	c=1 d=1.16279e-39 t=51595
bi neng 	俾能	c=1 d=0.0246002 t=51595
bi ni 	比你	c=2 d=7.28276e-06 t=51595
bi qi lai 	比起來	c=1 d=7.90681e-32 t=51595
bi ru 	比如	c=1 d=5.84456e-06 t=51595
bi sheng ke 	必勝客	c=1 d=1 t=48932
bi shui 	避稅	c=2 d=0.00164333 t=51595
bi ta 	比它	c=1 d=8.44645e-44 t=51595
bi te 	比特	c=3 d=1.18591e-06 t=51595
bi te bi 	比特比	c=2 d=1.36185e-37 t=51595
bi tian 	必填	c=5 d=6.69031e-06 t=51595
bi tian xiang 	必填項	c=3 d=2.69263e-06 t=51595
bi wo 	比我	c=2 d=1.25015e-09 t=51595
bi xian zai 	比現在	c=1 d=0.00162866 t=51595
bi xu 	必須	c=10 d=0.302704 t=51595
bi yao 	必要	c=1 d=1.86501e-09 t=51595
bi ye 	畢業	c=13 d=7.09149e-07 t=51595
bi ye sheng 	畢業生	c=1 d=5.26809e-49 t=51595
bi ye zheng 	畢業證	c=1 d=2.26264e-18 t=51595
bi ying 	必應	c=4 d=0.396531 t=51595
bi ying ci dian 	必應詞典	c=2 d=1.84257e-06 t=51595
bi zhi 	壁紙	c=13 d=2.58652 t=51595
bi zhong 	幣種	c=56 d=2.27166e-06 t=51595
bi zi 	鼻子	c=1 d=0.000251014 t=51595
bian 	編	c=2 d=2.29449e-06 t=51595
bian 	變	c=6 d=0.000741545 t=51595
bian 	遍	c=1 d=3.19038e-31 t=51595
bian 	邊	c=7 d=0.140858 t=51595
bian cheng 	編程	c=50 d=0.916904 t=51595
bian cheng 	變成	c=4 d=0.000140241 t=51595
bian dao 	變到	c=1 d=6.98033e-07 t=51595
bian geng 	變更	c=19 d=1.0058 t=51595
bian geng hou 	變更後	c=1 d=3.25603e-06 t=51595
bian hao 	編號	c=20 d=0.000333023 t=51595
bian hua 	變化	c=11 d=1.23431e-06 t=51595
bian huan 	變幻	c=1 d=3.34585e-32 t=51595
bian hui 	變灰	c=1 d=5.42022e-31 t=51595
bian ji 	編輯	c=67 d=0.00351752 t=51595
bian ji bu 	編輯部	c=1 d=5.26199e-06 t=51595
bian ji de 	編輯的	c=1 d=2.95582e-15 t=51595
bian ji hang 	編輯行	c=12 d=6.191e-07 t=51595
bian ji jie dian 	編輯節點	c=1 d=5.6173e-10 t=51595
bian ji qi 	編輯器	c=2 d=1.76917e-06 t=51595
bian ji qian 	編輯前	c=1 d=3.23418e-15 t=51595
bian jie 	邊界	c=1 d=1.61268e-34 t=51595
bian ke 	便可	c=0 d=1.16037e-45 t=51595
bian ke wan quan 	便可完全	c=1 d=1.16619e-44 t=51595
bian kuang 	邊框	c=1 d=1.33067e-08 t=51595
bian li 	遍歷	c=13 d=1.14508e-05 t=51595
bian liang 	變量	c=48 d=1.29371 t=51595
bian liang biao 	變量表	c=2 d=2.91421e-45 t=51595
bian ma 	編碼	c=49 d=0.0416208 t=51595
bian qing 	變輕	c=1 d=4.45995e-31 t=51595
bian se 	變色	c=1 d=5.24021e-16 t=51595
bian xian 	變現	c=1 d=7.65722e-37 t=51595
bian xie 	便攜	c=1 d=7.46695e-13 t=51595
bian xie 	編寫	c=4 d=4.72527e-05 t=51595
bian yi 	編譯	c=4 d=0.00021605 t=51595
bian yi 	變異	c=2 d=0.00124409 t=51595
bian yi hou 	編譯後	c=1 d=9.51716e-07 t=51595
bian yi qi 	編譯器	c=2 d=5.1578e-06 t=51595
bian yi qi 	編譯期	c=1 d=4.62431e-45 t=51595
bian yi qi jian 	編譯期間	c=1 d=1.78842e-45 t=51595
bian yin 	變音	c=1 d=1.92312e-17 t=51595
bian zao 	編造	c=2 d=3.65627e-07 t=51595
bian zhi 	編織	c=1 d=1 t=49249
bian zhou ji 	編舟記	c=2 d=4.67e-06 t=51595
biao 	表	c=133 d=0.128581 t=51595
biao da 	表達	c=1 d=1 t=51019
biao da shi 	表達式	c=8 d=0.0584257 t=51595
biao dan 	表單	c=19 d=0.0295994 t=51595
biao dui 	表對	c=1 d=3.57433e-15 t=51595
biao ge 	表哥	c=2 d=7.02282e-39 t=51595
biao ge 	表格	c=66 d=0.0688402 t=51595
biao hong 	標紅	c=1 d=5.99659e-14 t=51595
biao ji 	標記	c=15 d=0.0448245 t=51595
biao ji wei 	標記爲	c=1 d=2.0224e-21 t=51595
biao li 	表裏	c=1 d=4.19166e-07 t=51595
biao mian 	表面	c=0 d=0.1 t=47370
biao ming 	表名	c=13 d=0.0136851 t=51595
biao qian 	標籤	c=29 d=0.736667 t=51595
biao qian ye 	標籤頁	c=1 d=1.37096e-06 t=51595
biao qing 	表情	c=4 d=0.120448 t=51595
biao qing yun 	表情雲	c=1 d=1.84607e-36 t=51595
biao shi 	標識	c=7 d=0.28939 t=51595
biao shi 	表示	c=2 d=0.290835 t=51595
biao shi fu 	標識符	c=1 d=2.99886e-38 t=51595
biao shi ming 	表示名	c=3 d=5.43425e-06 t=51595
biao ti 	標題	c=6 d=1.29343e-06 t=51595
biao ti ming 	標題名	c=1 d=1.50007e-06 t=51595
biao tou 	表頭	c=1 d=5.96262e-06 t=51595
biao you 	表有	c=1 d=0.00494193 t=51595
biao zheng 	表徵	c=1 d=5.99436e-39 t=51595
biao zhi 	標誌	c=3 d=1.34735e-19 t=51595
biao zhong 	表中	c=5 d=2.71967e-06 t=51595
biao zhu 	標註	c=2 d=1.58488e-06 t=51595
biao zhun 	標準	c=63 d=0.360251 t=51595
biao zhun cha 	標準差	c=6 d=0.000654851 t=51595
biao zhun ku 	標準庫	c=1 d=0.00115923 t=51595
bie 	別	c=6 d=0.173774 t=51595
bie 	憋	c=1 d=3.46502e-32 t=51595
bie ji 	別急	c=1 d=3.05902e-07 t=51595
bie ming 	別名	c=12 d=0.912549 t=51595
bie ren 	別人	c=7 d=0.0139899 t=51595
bie ti 	別提	c=1 d=3.02128e-08 t=51595
bin 	斌	c=1 d=9.34142e-23 t=51595
bing 	並	c=46 d=0.00106483 t=51595
bing 	病	c=2 d=9.28893e-07 t=51595
bing bing 	冰冰	c=1 d=7.80793e-31 t=51595
bing bu 	並不	c=1 d=0.000153381 t=51595
bing bu duo 	並不多	c=1 d=2.81798e-12 t=51595
bing bu gao 	並不高	c=1 d=0.0015415 t=51595
bing bu hao 	並不好	c=2 d=2.8627e-13 t=51595
bing bu shi 	並不是	c=1 d=2.36477e-08 t=51595
bing fa 	併發	c=2 d=7.48676e-07 t=51595
bing fei 	並非	c=1 d=1.7561e-07 t=51595
bing gan 	餅乾	c=1 d=1 t=48827
bing he 	冰河	c=1 d=2.23162e-32 t=51595
bing ji 	並集	c=1 d=1.11147e-08 t=51595
bing ji ling 	冰激凌	c=1 d=2.6759e-21 t=51595
bing jia 	病假	c=1 d=4.91896e-07 t=51595
bing jia dan 	病假單	c=2 d=9.57128e-07 t=51595
bing jiang 	並將	c=2 d=1.20942e-31 t=51595
bing lie 	並列	c=1 d=0.00453922 t=51595
bing qie 	並且	c=4 d=1.53433e-07 t=51595
bing zai 	並在	c=1 d=1.76059e-37 t=51595
bo 	博	c=2 d=1.33802e-14 t=51595
bo 	播	c=1 d=1.23431e-06 t=51595
bo 	波	c=1 d=2.96751e-32 t=51595
bo 	薄	c=1 d=1 t=50305
bo ang 	波昂	c=1 d=8.3567e-36 t=51595
bo da 	撥打	c=5 d=0.0164272 t=51595
bo da ri qi 	撥打日期	c=1 d=0.0153752 t=51595
bo dong 	波動	c=1 d=1.37498e-11 t=51595
bo duo 	波多	c=1 d=2.46036e-33 t=51595
bo fang 	播放	c=2 d=6.84444e-11 t=51595
bo fu 	伯父	c=1 d=1 t=49014
bo hao 	撥號	c=1 d=4.79669e-05 t=51595
bo ke 	博客	c=7 d=1.06449e-06 t=51595
bo ke ye 	博客也	c=1 d=6.72398e-08 t=51595
bo ke yuan 	博客園	c=2 d=2.60842e-07 t=51595
bo lan 	波瀾	c=1 d=4.21482e-13 t=51595
bo ming 	薄命	c=1 d=3.76923e-22 t=51595
bo mu 	伯母	c=1 d=1 t=49015
bo rui 	博瑞	c=9 d=0.00811249 t=51595
bo shi dun 	波士頓	c=1 d=3.74649e-39 t=51595
bo tong 	撥通	c=0 d=8.27778e-43 t=51595
bo xue 	剝削	c=1 d=4.47545e-13 t=51595
bo ya 	伯牙	c=1 d=1.2525e-31 t=51595
bo yi lun 	博弈論	c=3 d=8.70571e-39 t=51595
bo zhou 	亳州	c=8 d=7.33948e-09 t=51595
bo zhou shi 	亳州市	c=1 d=7.41322e-09 t=51595
bo zhu 	博主	c=2 d=5.62524e-31 t=51595
bu 	不	c=57 d=1.15344 t=51595
bu 	布	c=1 d=0.0113042 t=51595
bu 	步	c=5 d=1.41271e-06 t=51595
bu 	補	c=4 d=0.159614 t=51595
bu 	部	c=3 d=2.1287e-06 t=51595
bu a 	不啊	c=1 d=2.89631e-11 t=51595
bu ai chi 	不愛吃	c=1 d=1.15919e-32 t=51595
bu an 	不安	c=0 d=3.33903e-09 t=51595
bu an zhong 	不安中	c=1 d=3.35577e-08 t=51595
bu bao kuo 	不包括	c=2 d=2.70979e-22 t=51595
bu bi yao 	不必要	c=1 d=4.11929e-08 t=51595
bu bian 	不便	c=1 d=9.49551e-39 t=51595
bu bian 	不變	c=1 d=1.00813e-07 t=51595
bu bian xie 	不便攜	c=1 d=8.27804e-13 t=51595
bu bin 	不斌	c=1 d=2.37622e-06 t=51595
bu can yu 	不參與	c=1 d=1.02619e-10 t=51595
bu chai 	不拆	c=1 d=5.19779e-38 t=51595
bu cheng 	不乘	c=1 d=5.03045e-06 t=51595
