# Rime user dictionary
#@/db_name	double_pinyin_flypy.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	5468
#@/user_id	macbook
a 	啊	c=53 d=5.16558 t=5468
bang wo 	幫我	c=1 d=0.0294518 t=5468
bao 	包	c=3 d=0.71187 t=5468
bao 	寶	c=1 d=0.0327124 t=5468
bao bao 	寶寶	c=1 d=1.47417e-07 t=5468
bao ming 	包名	c=1 d=0.718924 t=5468
bao ming 	報名	c=1 d=1 t=5311
bao xian 	保險	c=1 d=0.00198925 t=5468
bao zheng 	保證	c=1 d=0.000110555 t=5468
bao zou 	暴走	c=1 d=3.39769e-07 t=5468
bei 	倍	c=1 d=3.20756e-06 t=5468
bei 	唄	c=12 d=0.766992 t=5468
bei 	被	c=1 d=4.78512e-06 t=5468
bei 	貝	c=3 d=1.72217e-07 t=5468
bei fang 	北方	c=1 d=3.12029e-05 t=5468
bei fen 	備份	c=7 d=0.0199512 t=5468
bei fen 	北分	c=3 d=9.74569e-05 t=5468
bei jing 	北京	c=2 d=0.303719 t=5468
bei jing 	背景	c=1 d=0.847894 t=5468
bei mei 	北美	c=1 d=1.76947e-08 t=5468
bei ye 	貝葉	c=2 d=0.0017237 t=5468
bei ye si 	貝葉斯	c=7 d=0.0904745 t=5468
bei zhu 	備註	c=1 d=1.05708e-06 t=5468
ben di 	本地	c=1 d=0.860708 t=5468
bi 	幣	c=6 d=8.40175e-06 t=5468
bi 	比	c=3 d=0.0810821 t=5468
bi 	逼	c=1 d=0.000296045 t=5468
bi ji 	筆記	c=6 d=4.08425 t=5468
bi ji ben 	筆記本	c=1 d=0.118583 t=5468
bi jiao 	比較	c=5 d=0.605439 t=5468
bi jiao hao 	比較好	c=1 d=0.110803 t=5468
bi mian 	避免	c=0 d=7.61927e-09 t=5468
bi ni 	比你	c=0 d=0.0121238 t=5468
bi te 	比特	c=4 d=1.57158e-06 t=5468
bi te bi 	比特幣	c=9 d=3.49163e-06 t=5468
bi xu 	必須	c=2 d=0.051607 t=5468
bi ye 	畢業	c=1 d=0.054204 t=5468
bi yong 	比用	c=1 d=1 t=5171
bi zhi 	壁紙	c=6 d=1.68767 t=5468
bian 	變	c=1 d=1 t=4513
bian cheng 	編程	c=2 d=0.0993508 t=5468
bian ji 	編輯	c=1 d=1.02832e-05 t=5468
bian jiao 	邊角	c=1 d=0.00120052 t=5468
bian liang 	變量	c=1 d=0.0596059 t=5468
bian se 	變色	c=1 d=1 t=4564
biao da 	表達	c=1 d=0.0224829 t=5468
biao ge 	表格	c=1 d=1 t=5446
biao qing 	表情	c=3 d=0.792192 t=5468
biao shi 	表示	c=1 d=0.00250366 t=5468
biao xian 	表現	c=10 d=0.000248191 t=5468
biao zhu 	標註	c=1 d=9.07643e-08 t=5468
bie ren 	別人	c=0 d=1.49981e-05 t=5468
bing 	病	c=1 d=0.00763509 t=5468
bing bu neng 	並不能	c=1 d=0.000101546 t=5468
bo 	伯	c=0 d=3.83949e-05 t=5468
bo nu li ding li 	伯努利定理	c=1 d=0.000385874 t=5468
bo song fen bu 	泊松分佈	c=1 d=0.000315927 t=5468
bu 	不	c=5 d=1.04738 t=5468
bu chi 	不吃	c=1 d=0.0547488 t=5468
bu cuo 	不錯	c=4 d=0.676805 t=5468
bu dao 	不到	c=3 d=0.499099 t=5468
bu deng 	不等	c=0 d=0.0120633 t=5468
bu deng ni 	不等你	c=1 d=0.121238 t=5468
bu dong 	不懂	c=1 d=0.0338776 t=5468
bu duo 	不多	c=1 d=3.14405e-06 t=5468
bu e 	不餓	c=1 d=0.804817 t=5468
bu fen 	部分	c=1 d=2.75364e-05 t=5468
bu gan 	不敢	c=1 d=3.03591e-06 t=5468
bu gao 	不高	c=1 d=1 t=4906
bu gei 	不給	c=1 d=0.412714 t=5468
bu gen 	不跟	c=0 d=0.0296218 t=5468
bu gen ni 	不跟你	c=1 d=0.19593 t=5468
bu gen wo 	不跟我	c=1 d=0.101774 t=5468
bu guan 	不管	c=1 d=0.000461975 t=5468
bu gui 	不貴	c=1 d=0.0167392 t=5468
bu guo 	不過	c=2 d=0.07692 t=5468
bu hui 	不會	c=3 d=0.207775 t=5468
bu jian zao 	不建造	c=1 d=0.276651 t=5468
bu jiu shi 	不就是	c=1 d=0.0111173 t=5468
bu ju 	佈局	c=1 d=0.214381 t=5468
bu kai xin 	不開心	c=1 d=0.148823 t=5468
bu kan 	不看	c=1 d=5.72883e-06 t=5468
bu ke 	不可	c=2 d=0.000125828 t=5468
bu le 	不了	c=1 d=3.13646e-07 t=5468
bu mai 	不買	c=1 d=0.0181334 t=5468
bu mai 	不賣	c=1 d=0.186374 t=5468
bu mang 	不忙	c=0 d=0.1 t=5300
bu neng 	不能	c=9 d=0.923116 t=5468
bu neng da zi 	不能打字	c=1 d=0.913931 t=5468
bu qing 	不清	c=1 d=1 t=5195
bu qing chu 	不清楚	c=1 d=1 t=5038
bu qu 	不去	c=4 d=0.261337 t=5468
bu ran 	不然	c=1 d=0.0250972 t=5468
bu ru 	不如	c=0 d=0.008291 t=5468
bu ru mao 	不如貓	c=1 d=0.0833256 t=5468
bu shao 	不少	c=1 d=0.0420036 t=5468
bu shi 	不是	c=9 d=0.191667 t=5468
bu shi yong 	不適用	c=1 d=0.831104 t=5468
bu shu fu 	不舒服	c=1 d=0.414783 t=5468
bu suan 	不算	c=1 d=0.25924 t=5468
bu tai 	不太	c=1 d=9.68434e-06 t=5468
bu tong 	不同	c=1 d=9.05145e-05 t=5468
bu wan 	不玩	c=1 d=0.283654 t=5468
bu wan 	補完	c=1 d=1.48899e-07 t=5468
bu xi 	不洗	c=0 d=8.25245e-07 t=5468
bu xi tou 	不洗頭	c=1 d=0.33454 t=5468
bu xiang 	不想	c=2 d=0.937067 t=5468
bu xu yao 	不需要	c=1 d=9.78167e-06 t=5468
bu yao 	不要	c=3 d=0.49661 t=5468
bu ye 	不也	c=1 d=1 t=4824
bu yi ding 	不一定	c=1 d=1.93578e-06 t=5468
bu ying gai 	不應該	c=1 d=0.0184997 t=5468
bu zhi 	不知	c=1 d=0.0665368 t=5468
bu zhi dao 	不知道	c=4 d=0.142168 t=5468
bu zhi de 	不值得	c=0 d=2.76077e-07 t=5468
bu zhuan 	不賺	c=0 d=0.1 t=5263
bu zhuan qian 	不賺錢	c=1 d=1 t=5264
ca ca 	擦擦	c=1 d=0.00133343 t=5468
cai 	才	c=8 d=0.618411 t=5468
cai 	菜	c=4 d=0.215351 t=5468
cai cha kan 	才查看	c=1 d=1.2405e-06 t=5468
cai dui 	纔對	c=1 d=2.46681e-05 t=5468
cai qi lai 	纔起來	c=1 d=0.271173 t=5468
cai xing 	才行	c=1 d=0.165299 t=5468
can 	參	c=1 d=2.23784e-06 t=5468
can che 	餐車	c=1 d=0.70822 t=5468
can shu 	參數	c=3 d=0.00889871 t=5468
cang jing kong 	蒼井空	c=1 d=0.0132336 t=5468
cang ku 	倉庫	c=3 d=1.31468 t=5468
cao zuo 	操作	c=1 d=0.00344787 t=5468
ce 	冊	c=1 d=2.07649e-08 t=5468
ce 	測	c=0 d=0.1 t=4664
ce lve 	策略	c=4 d=2.23325e-07 t=5468
ce shi 	測試	c=2 d=1.20281e-07 t=5468
ce shi ji 	測試集	c=4 d=0.000227453 t=5468
ce yang 	冊樣	c=1 d=9.25821e-06 t=5468
ce yi xia 	測一下	c=1 d=1 t=4665
ceng 	層	c=2 d=1.956 t=5360
cha bu duo 	差不多	c=5 d=0.611349 t=5468
cha cha 	查查	c=1 d=1 t=5266
cha jian 	插件	c=3 d=0.0512417 t=5468
cha kan 	查看	c=4 d=0.677152 t=5468
cha kong 	插空	c=1 d=2.49848e-08 t=5468
cha ru 	插入	c=2 d=0.425283 t=5468
cha tou 	插頭	c=1 d=1.74704e-05 t=5468
cha yi 	差異	c=0 d=1.79127e-06 t=5468
chai fen 	拆分	c=2 d=1.96561 t=5454
chan pin 	產品	c=1 d=0.213312 t=5468
chang 	長	c=1 d=0.0183156 t=5468
chang yong 	常用	c=2 d=0.0776922 t=5468
chao 	朝	c=1 d=0.00027603 t=5468
chao 	超	c=0 d=2.60044e-09 t=5468
chao can shu 	超參數	c=3 d=9.6705e-08 t=5468
chao ji 	超擠	c=1 d=1.8506e-06 t=5468
chao ji 	超級	c=2 d=0.000355247 t=5468
chao shi 	超市	c=4 d=0.839507 t=5468
chao yang 	朝陽	c=1 d=0.000128446 t=5468
chao yue 	超越	c=2 d=1.65913e-07 t=5468
che 	車	c=4 d=0.541757 t=5468
che hui 	撤回	c=1 d=0.136014 t=5468
che shang 	車上	c=1 d=0.00546167 t=5468
chen 	陳	c=1 d=1.06495e-05 t=5468
chen ji 	趁機	c=2 d=1.92774 t=5145
chen yi 	襯衣	c=2 d=0.0016542 t=5468
cheng 	乘	c=1 d=0.000403635 t=5468
cheng 	城	c=2 d=0.00763509 t=5468
cheng 	成	c=1 d=0.0320647 t=5468
cheng 	撐	c=1 d=0.0889216 t=5468
cheng fa 	乘法	c=1 d=5.34243e-08 t=5468
cheng fa 	懲罰	c=1 d=5.31579e-08 t=5468
cheng gong 	成功	c=2 d=1.96079 t=4896
cheng shi 	城市	c=1 d=2.23822e-08 t=5468
cheng xu 	程序	c=2 d=8.11661e-08 t=5468
cheng xu yuan 	程序員	c=4 d=1.0952 t=5468
cheng zi fa 	乘子法	c=1 d=0.447088 t=5468
chi 	吃	c=9 d=0.861853 t=5468
chi bu liao 	吃不了	c=1 d=0.000259956 t=5468
chi bu wan 	吃不完	c=1 d=0.000238772 t=5468
chi fan 	吃飯	c=1 d=1.30725e-05 t=5468
chi ge 	吃個	c=1 d=0.729789 t=5468
chi hao le ma 	吃好了嗎	c=1 d=0.0235177 t=5468
chi hui 	吃灰	c=1 d=0.189191 t=5468
chi ji 	吃雞	c=1 d=0.172907 t=5468
chi le 	吃了	c=5 d=0.262277 t=5468
chi le ma 	吃了馬	c=1 d=0.0197421 t=5468
chi ma 	吃嗎	c=1 d=0.054204 t=5468
chi sha 	吃啥	c=1 d=0.000765486 t=5468
chi sha 	癡傻	c=1 d=0.000761668 t=5468
chi shen me 	吃什麼	c=1 d=0.364219 t=5468
chong qi 	重啓	c=1 d=1 t=4569
chong xin 	重新	c=4 d=0.647291 t=5468
chong zhi 	重置	c=1 d=1 t=4605
chong zhuang 	重裝	c=1 d=0.000617396 t=5468
chou qu 	抽取	c=1 d=9.28059e-05 t=5468
chu 	出	c=2 d=9.92843e-05 t=5468
chu 	楚	c=1 d=1 t=5196
chu 	除	c=1 d=2.54237e-07 t=5468
chu lai 	出來	c=3 d=0.000112726 t=5468
chu le 	除了	c=2 d=0.00120262 t=5468
chu li 	處理	c=1 d=2.70657e-08 t=5468
chu mo ban 	觸摸板	c=2 d=0.0993282 t=5468
chu qu 	出去	c=2 d=1.10487 t=4916
chu ru jing 	出入境	c=1 d=0.0572688 t=5468
chu shi 	初始	c=6 d=0.156015 t=5468
chu xian 	出現	c=3 d=0.0293049 t=5468
chu xie 	出血	c=1 d=0.740818 t=5468
chu zhou 	滁州	c=4 d=3.74083 t=5294
chu zhou shi 	滁州市	c=1 d=1 t=5279
chuan ran 	傳染	c=1 d=0.458406 t=5468
chuan yue 	穿越	c=1 d=3.72729e-08 t=5468
chuang hu 	窗戶	c=1 d=0.0428521 t=5468
chuang jian 	創建	c=1 d=5.10648e-06 t=5468
chuang kou 	窗口	c=1 d=0.0788664 t=5468
chuang shang 	牀上	c=1 d=0.276651 t=5468
chui chui 	吹吹	c=1 d=5.65814e-07 t=5468
chun jie 	春節	c=1 d=1 t=5253
chun lian 	春聯	c=1 d=0.00729913 t=5468
ci 	詞	c=2 d=0.862977 t=5468
ci 	辭	c=1 d=0.228779 t=5468
ci ku 	詞庫	c=7 d=2.44777 t=5438
ci le 	辭了	c=1 d=0.324652 t=5468
ci li 	磁力	c=2 d=0.628135 t=5468
ci pan 	磁盤	c=1 d=1 t=5391
ci shi 	此時	c=1 d=0.00308872 t=5468
ci shu 	次數	c=1 d=0.0182243 t=5468
cong 	從	c=3 d=0.634448 t=5468
cong tou 	從頭	c=1 d=0.519442 t=5468
cou 	湊	c=1 d=1 t=5159
cun 	存	c=2 d=0.130113 t=5468
cun 	寸	c=6 d=0.131817 t=5468
cun dang 	存檔	c=1 d=0.00107547 t=5468
cun zai 	存在	c=1 d=6.41042e-05 t=5468
cuo 	錯	c=1 d=0.020141 t=5468
cuo de 	錯的	c=1 d=1 t=5056
cuo wu 	錯誤	c=1 d=9.12192e-08 t=5468
da 	噠	c=3 d=0.0129738 t=5468
da 	大	c=8 d=0.323626 t=5468
da 	打	c=1 d=0.0380064 t=5468
da 	達	c=3 d=7.62122e-06 t=5468
da an 	答案	c=1 d=5.60089e-05 t=5468
da bu kai 	打不開	c=2 d=0.946485 t=5468
da che 	打車	c=4 d=0.000133802 t=5468
da gai 	大概	c=7 d=0.50409 t=5468
da ge dian hua 	打個電話	c=1 d=1 t=5181
da gu 	大姑	c=1 d=1 t=5214
da gu 	大鼓	c=1 d=0.122456 t=5468
da jian 	搭建	c=1 d=1 t=4797
da kai 	打開	c=1 d=0.00509243 t=5468
da lao 	大佬	c=3 d=1.31857e-05 t=5468
da le ge 	打了個	c=1 d=0.0368832 t=5468
da qiao 	大橋	c=3 d=0.0306744 t=5468
da shu 	大數	c=1 d=0.000378233 t=5468
da si 	大四	c=1 d=0.000182274 t=5468
da suan 	打算	c=2 d=0.831104 t=5468
da ting 	打聽	c=0 d=0.00682212 t=5468
da ting da ting 	打聽打聽	c=1 d=0.0685632 t=5468
da wang 	大王	c=1 d=2.72013e-08 t=5468
da xiao 	大小	c=2 d=1.79842e-05 t=5468
da xue 	大學	c=1 d=4.90625e-06 t=5468
da xue 	達學	c=0 d=2.54851e-07 t=5468
da zhan 	大戰	c=1 d=1 t=4669
da zi 	打字	c=11 d=0.583152 t=5468
dai 	代	c=0 d=0.00287246 t=5468
dai 	帶	c=3 d=0.582613 t=5468
dai 	待	c=1 d=0.0294518 t=5468
dai bu liao 	待不了	c=1 d=0.00148848 t=5468
dai er 	戴爾	c=1 d=1 t=4749
dai fen lei 	代分類	c=1 d=0.0288686 t=5468
dai ge 	帶個	c=0 d=0.0115903 t=5468
dai ge bi ji ben 	帶個筆記本	c=1 d=0.116484 t=5468
dai hui lai 	帶回來	c=1 d=0.000228266 t=5468
dai hui qu 	帶回去	c=1 d=0.108067 t=5468
dai kuan 	貸款	c=1 d=1 t=5194
dai le 	帶了	c=1 d=0.11475 t=5468
dai ma 	代碼	c=2 d=0.00506784 t=5468
dai shu 	代數	c=4 d=0.790571 t=5468
dai shu 	袋鼠	c=1 d=5.08188e-08 t=5468
dai shuai 	戴帥	c=1 d=0.000829241 t=5468
dai wei 	傣味	c=1 d=2.01965e-05 t=5468
dai zhe 	帶着	c=1 d=0.110251 t=5468
dan 	但	c=1 d=2.19883e-05 t=5468
dan 	單	c=2 d=0.0271874 t=5468
dan chao fan 	蛋炒飯	c=1 d=2.08116e-05 t=5468
dan ci 	單詞	c=1 d=8.46137e-06 t=5468
dan dan 	蛋蛋	c=1 d=0.0468877 t=5468
dan mu 	彈幕	c=1 d=0.241714 t=5468
dan shi 	但是	c=2 d=6.92271e-07 t=5468
dan xin 	擔心	c=1 d=0.0639279 t=5468
dan yi 	單一	c=2 d=1.30512e-07 t=5468
dan yuan ge 	單元格	c=1 d=1 t=5453
dang 	黨	c=0 d=3.62588e-08 t=5468
dang qian 	當前	c=2 d=2.20088e-06 t=5468
dao 	倒	c=2 d=0.0880368 t=5468
dao 	到	c=2 d=0.0581343 t=5468
dao dao 	叨叨	c=0 d=0.0308819 t=5468
dao di 	到底	c=1 d=7.46713e-06 t=5468
dao jia 	到家	c=1 d=0.0155297 t=5468
dao le 	倒了	c=0 d=0.00234005 t=5468
dao le 	到了	c=3 d=0.927405 t=5468
dao le dian 	倒了點	c=1 d=0.0235177 t=5468
dao ru 	導入	c=1 d=0.00444934 t=5468
dao shi hou 	到時候	c=1 d=0.0706512 t=5468
dao shu 	倒數	c=2 d=0.000457348 t=5468
dao shu 	導數	c=0 d=3.02025e-05 t=5468
de 	地	c=1 d=1 t=4988
de 	得	c=2 d=0.0550238 t=5468
de 	的	c=154 d=4.64892 t=5468
de dao 	得到	c=1 d=0.0519355 t=5468
de lu 	的路	c=0 d=2.63929e-07 t=5468
de ma 	的嗎	c=0 d=8.41773e-05 t=5468
den ni 	㩐你	c=1 d=0.0137049 t=5468
deng 	登	c=1 d=1 t=4933
deng 	等	c=1 d=0.0162716 t=5468
deng hui 	等會	c=2 d=0.563999 t=5468
deng lu 	登錄	c=0 d=4.51735e-06 t=5468
deng ni 	等你	c=2 d=0.138131 t=5468
deng ni gan ma 	等你幹嘛	c=1 d=0.0507928 t=5468
deng ni hui lai 	等你回來	c=1 d=0.000262568 t=5468
deng shi 	等式	c=0 d=3.7447e-05 t=5468
deng xia 	等下	c=2 d=0.585669 t=5468
di 	低	c=6 d=0.202919 t=5468
di 	地	c=1 d=3.01348e-07 t=5468
di 	底	c=1 d=0.0164078 t=5468
di 	第	c=2 d=0.00255807 t=5468
di ban 	地板	c=1 d=2.64567e-05 t=5468
di gui 	遞歸	c=1 d=1 t=4986
di guo 	帝國	c=1 d=0.0488012 t=5468
di guo shi dai 	帝國時代	c=4 d=3.60487 t=5465
di que 	的確	c=1 d=2.20985e-05 t=5468
di si 	第四	c=1 d=0.343009 t=5468
di tie 	地鐵	c=4 d=0.434539 t=5468
di tu 	地圖	c=1 d=5.61539e-06 t=5468
di yi ji 	第一季	c=1 d=2.69958e-07 t=5468
di zhi 	地址	c=5 d=0.680451 t=5468
dian 	墊	c=1 d=0.0212797 t=5468
dian 	電	c=1 d=0.0106202 t=5468
dian 	點	c=10 d=0.784869 t=5468
dian ban 	點半	c=1 d=0.371577 t=5468
dian cheng 	點乘	c=1 d=0.822835 t=5468
dian chi 	電池	c=3 d=0.035928 t=5468
dian dong ti xu dao 	電動剃鬚刀	c=1 d=0.0269169 t=5468
dian hua 	電話	c=3 d=7.32342e-07 t=5468
dian le 	點了	c=1 d=0.106992 t=5468
dian nao 	電腦	c=6 d=0.483016 t=5468
dian pu 	店鋪	c=2 d=2.06199e-06 t=5468
dian tai 	電臺	c=2 d=4.87056e-08 t=5468
dian wai mai 	點外賣	c=3 d=0.187308 t=5468
dian ying 	電影	c=4 d=7.72069e-06 t=5468
dian zhong 	點鐘	c=1 d=0.0450492 t=5468
dian zi qin 	電子琴	c=3 d=1.95064 t=5468
dian zi shang wu 	電子商務	c=1 d=5.85968e-07 t=5468
dian zi shu 	電子書	c=1 d=1.20695e-07 t=5468
diao 	掉	c=1 d=5.1197e-07 t=5468
diao 	調	c=1 d=0.00634556 t=5468
diao yong 	調用	c=1 d=9.18981e-07 t=5468
ding 	定	c=1 d=2.15009e-06 t=5468
ding li 	定理	c=2 d=0.000810231 t=5468
ding li 	訂立	c=1 d=0.000288735 t=5468
ding shi 	定時	c=1 d=0.000649051 t=5468
ding yi 	定義	c=1 d=0.67032 t=5468
dong 	動	c=1 d=0.826959 t=5468
dong 	懂	c=1 d=4.48398e-06 t=5468
dong liang 	動量	c=1 d=2.30638e-08 t=5468
dong lu 	東路	c=1 d=6.00802e-07 t=5468
dong qing 	冬青	c=1 d=0.00465413 t=5468
dong shou 	動手	c=5 d=0.83527 t=5468
dong xi 	東西	c=8 d=1.29871 t=5468
dou 	都	c=13 d=0.493575 t=5468
dou ai 	都愛	c=1 d=0.0270518 t=5468
dou bu 	都不	c=0 d=0.0511709 t=5468
dou bu yi ding 	都不一定	c=1 d=0.514274 t=5468
dou hen 	都很	c=0 d=0.00100017 t=5468
dou hen hao yong 	都很好用	c=1 d=0.0100518 t=5468
dou mei 	都沒	c=1 d=0.927743 t=5468
dou shi 	都是	c=1 d=1 t=4464
dou yong 	都用	c=1 d=9.58798e-06 t=5468
dou you 	都有	c=1 d=5.68554e-05 t=5468
dou zai 	都在	c=0 d=0.1 t=5222
dou zai na 	都在那	c=1 d=1 t=5223
dou zhe me 	都這麼	c=1 d=0.000146278 t=5468
du 	度	c=1 d=0.390628 t=5468
du li 	獨立	c=1 d=0.00269866 t=5468
du li xing 	獨立性	c=1 d=0.0605068 t=5468
du zi 	肚子	c=1 d=0.000665481 t=5468
duan xin 	短信	c=3 d=1.70453e-05 t=5468
dui 	對	c=5 d=0.191601 t=5468
dui shu 	對數	c=1 d=0.00305798 t=5468
dui yu 	對於	c=1 d=0.00278085 t=5468
dun 	燉	c=1 d=0.0769192 t=5468
dun 	頓	c=1 d=0.147342 t=5468
duo 	多	c=9 d=0.934279 t=5468
duo da 	多大	c=1 d=0.316637 t=5468
duo ge 	多個	c=1 d=6.60565e-05 t=5468
duo jiu 	多久	c=2 d=0.532592 t=5468
duo shao 	多少	c=5 d=0.399427 t=5468
e 	呃	c=1 d=1.72103e-05 t=5468
e 	額	c=13 d=2.23255 t=5468
en 	嗯	c=61 d=8.03715 t=5468
er 	二	c=3 d=0.21014 t=5468
er 	兒	c=1 d=0.479505 t=5468
er ban ye 	二半夜	c=1 d=0.000587285 t=5468
er cha 	二叉	c=1 d=1 t=4990
er cha shu 	二叉樹	c=1 d=1 t=5012
er da 	二大	c=0 d=7.22896e-08 t=5468
er da ye 	二大爺	c=1 d=7.2652e-07 t=5468
er deng 	二等	c=0 d=0.00150707 t=5468
er deng zuo 	二等座	c=1 d=0.0151463 t=5468
er jie 	二階	c=1 d=0.000154549 t=5468
er lao ban 	二老闆	c=1 d=0.313486 t=5468
er shi 	二十	c=1 d=6.68931e-06 t=5468
er shi 	而是	c=1 d=6.65595e-06 t=5468
er shi fen zhong 	兒十分鐘	c=1 d=1 t=5155
er shi tian 	二十天	c=1 d=0.491644 t=5468
er shou 	二手	c=4 d=0.602462 t=5468
er shou de 	二手的	c=1 d=1 t=4743
er shou fang 	二手房	c=6 d=5.16927 t=5347
er wei ma 	二維碼	c=1 d=0.00207043 t=5468
er xiang fen bu 	二項分佈	c=1 d=0.000314351 t=5468
fa 	法	c=1 d=2.511e-08 t=5468
fa 	發	c=2 d=3.05236e-05 t=5468
fa duan xin 	發短信	c=1 d=3.02859e-07 t=5468
fa ge 	發個	c=0 d=0.000207043 t=5468
fa ge ni 	發個你	c=1 d=0.00208081 t=5468
fa gong zi 	發工資	c=1 d=0.0357931 t=5468
fa qing 	發情	c=1 d=1.88831e-08 t=5468
fa sheng 	發生	c=1 d=0.418952 t=5468
fa shu zi 	發數字	c=1 d=1.41613e-05 t=5468
fa xian 	發現	c=2 d=0.00937274 t=5468
fan bu xie 	帆布鞋	c=1 d=0.00166156 t=5468
fan hao 	番號	c=3 d=0.0133013 t=5468
fan hua 	泛化	c=4 d=0.000412939 t=5468
fan nao 	煩惱	c=1 d=1.43406e-06 t=5468
fan qiang 	翻牆	c=1 d=3.41472e-07 t=5468
fan ti 	繁體	c=2 d=1.86502 t=5468
fan wei 	範圍	c=1 d=3.52782e-08 t=5468
fan xiang 	反向	c=1 d=6.17501e-06 t=5468
fan yi 	翻譯	c=1 d=0.985112 t=5468
fang 	房	c=1 d=1 t=5356
fang 	方	c=1 d=2.85173e-05 t=5468
fang bian 	方便	c=2 d=0.0235213 t=5468
fang cha 	方差	c=8 d=0.0038851 t=5468
fang dai 	房貸	c=2 d=0.165299 t=5468
fang fa 	方法	c=3 d=0.127367 t=5468
fang wen 	訪問	c=2 d=0.913931 t=5468
fang xiang 	方向	c=2 d=0.000335275 t=5468
fang xiang dao shu 	方向導數	c=1 d=0.000303539 t=5468
fang zi 	房子	c=2 d=0.383808 t=5468
fang zu 	房租	c=2 d=0.368199 t=5468
fei 	非	c=1 d=7.90975e-07 t=5468
fei 	飛	c=3 d=6.3181e-07 t=5468
fei chang 	非常	c=2 d=0.000180777 t=5468
fei zhi lou 	廢紙簍	c=1 d=0.084163 t=5468
fen 	份	c=1 d=0.110251 t=5468
fen bu 	分佈	c=7 d=0.00428994 t=5468
fen bu shang 	分佈上	c=1 d=0.00010622 t=5468
fen bu shi 	分佈式	c=1 d=0.0668703 t=5468
fen ci 	分詞	c=1 d=0.162838 t=5468
fen dan 	分擔	c=2 d=0.10096 t=5468
fen le 	分了	c=1 d=1 t=4670
fen lei 	分類	c=4 d=0.030837 t=5468
fen lei qi 	分類其	c=1 d=4.52981e-08 t=5468
fen lei shu 	分類樹	c=1 d=1 t=5003
fen li 	分離	c=0 d=0.00608101 t=5468
fen qi 	分期	c=1 d=0.0731678 t=5468
fen se 	粉色	c=1 d=0.00136037 t=5468
fen xi 	分析	c=3 d=0.0584257 t=5468
fen zhi 	分支	c=1 d=0.164474 t=5468
fen zhong 	分鐘	c=2 d=3.10596e-06 t=5468
feng 	峯	c=1 d=5.7298e-08 t=5468
feng ren ji 	縫紉機	c=2 d=1.21361e-05 t=5468
feng shan 	風扇	c=1 d=1.02849e-07 t=5468
feng tian 	豐田	c=1 d=1.74313e-08 t=5468
fu 	負	c=0 d=1.99956e-06 t=5468
